property_id,sensor_type,reading,timestamp,alert_triggered
52,Boiler Pressure,17.64 psi,2025-06-03 01:35:32,True
52,Boiler Pressure,19.8 psi,2025-06-03 01:35:54,True
53,Water Flow,45.07 gal/hr,2025-06-03 01:35:18,True
53,Boiler Pressure,20.09 psi,2025-06-03 01:36:14,True
53,Boiler Pressure,25.94 psi,2025-06-03 01:35:53,False
54,Water Flow,86.84 gal/hr,2025-06-03 01:35:41,True
54,Water Flow,29.31 gal/hr,2025-06-03 01:35:26,False
55,CO2,6.43 ppm,2025-06-03 01:35:59,True
56,Boiler Pressure,47.79 psi,2025-06-03 01:35:27,True
56,Water Flow,6.11 gal/hr,2025-06-03 01:35:53,True
56,Water Flow,9.68 gal/hr,2025-06-03 01:35:41,True
57,CO2,93.21 ppm,2025-06-03 01:35:29,False
57,CO2,60.44 ppm,2025-06-03 01:36:05,False
58,CO2,99.94 ppm,2025-06-03 01:35:46,True
58,CO2,66.51 ppm,2025-06-03 01:35:24,False
59,Water Flow,97.53 gal/hr,2025-06-03 01:35:52,False
59,Water Flow,0.31 gal/hr,2025-06-03 01:35:56,False
59,Boiler Pressure,2.57 psi,2025-06-03 01:35:27,True
60,CO2,95.11 ppm,2025-06-03 01:35:57,True
60,CO2,45.19 ppm,2025-06-03 01:36:10,False
60,Humidity,66.02%,2025-06-03 01:35:33,True
61,CO2,1.66 ppm,2025-06-03 01:35:33,False
61,Water Flow,96.96 gal/hr,2025-06-03 01:35:47,False
61,Humidity,23.36%,2025-06-03 01:35:20,False
62,Water Flow,34.83 gal/hr,2025-06-03 01:36:16,False
62,Water Flow,73.43 gal/hr,2025-06-03 01:35:30,False
63,Boiler Pressure,71.19 psi,2025-06-03 01:35:30,True
63,Boiler Pressure,49.79 psi,2025-06-03 01:35:36,True
63,CO2,83.24 ppm,2025-06-03 01:36:01,False
64,Humidity,95.51%,2025-06-03 01:35:18,False
65,Boiler Pressure,24.34 psi,2025-06-03 01:35:26,True
65,Water Flow,10.55 gal/hr,2025-06-03 01:35:41,True
65,Boiler Pressure,92.9 psi,2025-06-03 01:35:58,False
66,CO2,22.04 ppm,2025-06-03 01:35:54,False
66,Humidity,95.15%,2025-06-03 01:36:14,True
67,Boiler Pressure,92.27 psi,2025-06-03 01:35:25,False
67,Water Flow,79.55 gal/hr,2025-06-03 01:35:28,False
67,Boiler Pressure,93.18 psi,2025-06-03 01:36:12,True
68,CO2,37.7 ppm,2025-06-03 01:35:48,False
68,Humidity,80.84%,2025-06-03 01:35:50,True
68,CO2,11.57 ppm,2025-06-03 01:36:11,True
69,Water Flow,34.02 gal/hr,2025-06-03 01:35:54,True
70,Water Flow,57.28 gal/hr,2025-06-03 01:35:53,True
70,CO2,95.41 ppm,2025-06-03 01:35:49,True
70,CO2,6.19 ppm,2025-06-03 01:35:44,True
71,Humidity,31.96%,2025-06-03 01:36:01,False
71,Boiler Pressure,51.98 psi,2025-06-03 01:35:39,True
72,Humidity,0.92%,2025-06-03 01:35:39,False
73,Boiler Pressure,81.61 psi,2025-06-03 01:35:20,False
73,Boiler Pressure,49.98 psi,2025-06-03 01:35:35,False
74,CO2,14.59 ppm,2025-06-03 01:35:56,True
75,CO2,30.89 ppm,2025-06-03 01:35:51,True
75,CO2,99.68 ppm,2025-06-03 01:35:55,False
75,Boiler Pressure,49.5 psi,2025-06-03 01:35:25,False
76,CO2,15.27 ppm,2025-06-03 01:35:22,True
77,Boiler Pressure,70.04 psi,2025-06-03 01:35:49,True
77,Boiler Pressure,85.68 psi,2025-06-03 01:35:51,False
77,CO2,98.44 ppm,2025-06-03 01:36:05,True
78,Humidity,33.74%,2025-06-03 01:35:41,False
79,Humidity,39.11%,2025-06-03 01:35:46,False
79,CO2,69.64 ppm,2025-06-03 01:35:28,True
80,Humidity,9.73%,2025-06-03 01:36:12,False
80,Water Flow,84.98 gal/hr,2025-06-03 01:36:06,False
80,Humidity,65.46%,2025-06-03 01:35:53,True
81,Humidity,29.11%,2025-06-03 01:36:09,True
81,Boiler Pressure,21.81 psi,2025-06-03 01:35:53,True
82,Water Flow,36.22 gal/hr,2025-06-03 01:35:44,True
82,Boiler Pressure,37.66 psi,2025-06-03 01:35:26,False
82,Boiler Pressure,92.6 psi,2025-06-03 01:35:40,True
83,Humidity,17.96%,2025-06-03 01:36:11,True
83,Water Flow,98.03 gal/hr,2025-06-03 01:35:59,False
84,Humidity,96.97%,2025-06-03 01:35:34,False
84,Boiler Pressure,3.4 psi,2025-06-03 01:35:21,True
84,Humidity,48.86%,2025-06-03 01:36:13,True
85,Humidity,77.58%,2025-06-03 01:35:57,True
85,Humidity,86.49%,2025-06-03 01:36:11,False
85,CO2,63.23 ppm,2025-06-03 01:36:13,False
86,Water Flow,12.0 gal/hr,2025-06-03 01:35:26,True
86,Water Flow,48.92 gal/hr,2025-06-03 01:36:09,True
87,Humidity,27.37%,2025-06-03 01:35:32,True
88,Boiler Pressure,38.4 psi,2025-06-03 01:36:11,False
88,CO2,57.14 ppm,2025-06-03 01:35:49,True
88,CO2,6.35 ppm,2025-06-03 01:35:55,True
89,Water Flow,39.38 gal/hr,2025-06-03 01:35:52,False
89,Water Flow,51.89 gal/hr,2025-06-03 01:35:49,True
90,Water Flow,18.07 gal/hr,2025-06-03 01:35:52,True
91,Humidity,80.05%,2025-06-03 01:35:59,True
92,Boiler Pressure,57.51 psi,2025-06-03 01:36:11,True
93,CO2,85.15 ppm,2025-06-03 01:35:42,True
94,Water Flow,50.61 gal/hr,2025-06-03 01:35:56,False
95,Boiler Pressure,42.31 psi,2025-06-03 01:35:38,True
95,Boiler Pressure,30.06 psi,2025-06-03 01:35:26,False
95,Humidity,13.99%,2025-06-03 01:35:40,False
96,CO2,52.27 ppm,2025-06-03 01:35:40,False
96,Boiler Pressure,68.79 psi,2025-06-03 01:35:21,True
96,Boiler Pressure,3.67 psi,2025-06-03 01:35:44,True
97,Boiler Pressure,95.74 psi,2025-06-03 01:35:32,True
97,CO2,27.74 ppm,2025-06-03 01:35:36,False
98,CO2,26.07 ppm,2025-06-03 01:35:38,True
99,Humidity,8.33%,2025-06-03 01:35:49,False
99,Humidity,94.02%,2025-06-03 01:35:57,True
100,Boiler Pressure,7.06 psi,2025-06-03 01:36:15,False
100,Boiler Pressure,71.44 psi,2025-06-03 01:35:56,True
100,Humidity,82.16%,2025-06-03 01:36:08,False
