address,subdistrict_code,rent,deposit,Let type,Furnish Type,Coucil Tax,PROPERTY TYPE,BEDROOMS,BATHROOMS,SIZE,avg_distance_to_nearest_station,nearest_station_count,faiss_id
"Lexham Gardens, London, W8",,4225,0,Long term,Ask agent,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3,30
"Blantyre Walk, Worlds End Estate, London, SW10",SW10,3497,4035,Long term,Ask agent,Ask agent,Apartment,3.0,1.0,Ask agent,0.7,3,31
"Union Wharf, London, N1",,3100,3577,Short term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3,32
"Hampden Road, London, N8",,1000,1154,Long term,Furnished,Ask agent,House Share,1.0,1.0,Ask agent,0.4,3,33
"Glenthorne Road, London, W6",,2150,2481,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.2,3,34
"Lismore Boulevard, Colindale, London, NW9",NW9,1750,2020,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,482 sq ft,0.8,3,35
"Upper Richmond Road, East Putney, London, SW15",SW15,2950,3404,Long term,Part furnished,Ask agent,Flat,2.0,2.0,923 sq ft,0.3,3,36
"Thornes House, London, SW11",SW11,4680,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,886 sq ft,0.4,3,37
"Ambassador Building, 5 New Union Square, London, SW8",SW8,3142,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.6,3,38
"Sunderland Terrace, Notting Hill, London, W2",,2817,3250,Long term,Furnished,Ask agent,Flat,1.0,1.0,522 sq ft,0.3,3,39
"Elsham Road, Holland Park, London, W14",W14,3879,895,Short term,Ask agent,Ask agent,Flat,1.0,1.0,742 sq ft,0.4,3,40
"The Grange, East Finchley, London, N2",,2175,2510,Long term,Part furnished,Ask agent,Flat,2.0,1.0,696 sq ft,0.9,3,41
"The Grange, East Finchley, London, N2",,3900,900,Short term,Ask agent,Ask agent,Flat,2.0,1.0,696 sq ft,0.9,3,42
"Thornes House, London, SW11",SW11,6873,0,Long term,Furnished,Ask agent,Flat,3.0,2.0,"1,123 sq ft",0.4,3,43
"Thornes House, London, SW11",SW11,4290,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,864 sq ft,0.4,3,44
"Visage Apartments, Winchester Road, Swiss Cottage, NW3",NW3,3250,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,950 sq ft,0.3,3,45
"Welbeck Street, London, W1G",W1G,2535,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,46
"Crawford Street, London, W1H",W1H,2297,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,47
"Marble Arch Apartments, Harrowby Street, London, W1H",W1H,2427,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,48
"Alma Square, London, NW8",NW8,2492,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,49
"Camden Road , Islington N7",,1668,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3,50
"Buckingham Palace Road, London, SW1W",SW1W,7150,9900,Long term,Furnished,Ask agent,Apartment,3.0,2.0,Ask agent,0.4,3,51
"Forum Magnum Square, Waterloo, London, SE1",SE1,3463,3995,Long term,Part furnished,Ask agent,Flat,2.0,2.0,712 sq ft,0.3,3,52
"Station Road, New Barnet, Barnet, EN5",EN5,2700,700,Short term,Ask agent,Ask agent,Flat,1.0,1.0,360 sq ft,0.6,3,53
"Station Road, New Barnet, Barnet, EN5",EN5,1700,1962,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,360 sq ft,0.6,3,54
"Harrowby Street, Marylebone, London, W1H",W1H,5200,6000,Long term,Unfurnished,Ask agent,Flat,3.0,3.0,"1,399 sq ft",0.3,3,55
"Great Cumberland Place, Marylebone, London, W1H",W1H,3502,4040,Long term,Part furnished,Ask agent,Flat,3.0,1.0,968 sq ft,0.3,3,56
"Jermyn Street, Piccadilly Circus, London, SW1Y",SW1Y,1950,2250,Long term,Furnished,Ask agent,Studio,,1.0,358 sq ft,0.3,3,57
"Blackfriars Road, Southwark, London, SE1",SE1,3640,4200,Long term,Furnished,Ask agent,Flat,2.0,2.0,853 sq ft,0.3,3,58
"Merrick Road, Southall, UB2",UB2,1550,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,1.2,3,59
"Clarendon Court, Maida Vale, Maida Vale, W9",,3033,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,2.0,Ask agent,0.4,3,60
"Ifield Road, Chelsea, London, SW10",SW10,4117,4750,Long term,Furnished,Ask agent,Flat,2.0,2.0,944 sq ft,0.5,3,61
"Clarendon Court, Maida Vale, Maida Vale, W9",,3250,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3,62
"Lawn Gardens, Ealing, London, W7",,3700,4270,Long term,Unfurnished,Ask agent,Semi-Detached,3.0,1.0,Ask agent,0.6,3,63
"Lakeside Drive, Park Royal, London, NW10",NW10,2300,700,Short term,Ask agent,Ask agent,Flat,2.0,1.0,Ask agent,0.5,3,64
"Lakeside Drive, Park Royal, London, NW10",NW10,2300,2654,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.5,3,65
"Lapis Close, Ealing",,2197,0,Long term,Ask agent,Ask agent,Flat,2.0,1.0,Ask agent,0.5,3,66
"Duncan House, Pimlico, SW1",SW1,2403,2772,Long term,Furnished,Ask agent,Apartment,1.0,1.0,401 sq ft,0.5,3,67
"WAVENDON AVENUE, Chiswick, London, W4",,8502,9808,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Terraced,4.0,3.0,"2,021 sq ft",0.5,3,68
"New Globe Walk, South Bank",,3250,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.4,3,69
"Parliament View, 1 Albert Embankment",,3597,4125,Long term,Furnished,Ask agent,Flat,2.0,2.0,768 sq ft,0.5,3,70
"Duncan House, Pimlico, SW1",SW1,3135,3617,Long term,Furnished,Ask agent,Apartment,1.0,1.0,550 sq ft,0.5,3,71
"Dandi Brondesbury, Brondesbury, London, NW2",NW2,1523,1758,Long term,Furnished,Ask agent,Studio,,1.0,100 sq ft,0.5,3,72
"Dandi Brondesbury, Brondesbury, London, NW2",NW2,1472,1699,Long term,Furnished,Ask agent,Studio,,1.0,100 sq ft,0.5,3,73
"Dandi Brondesbury, Brondesbury, London, NW2",NW2,1460,1685,Long term,Furnished,Ask agent,Studio,,1.0,100 sq ft,0.5,3,74
"Ebury Square, Belgravia, London, SW1W",SW1W,2557,2950,Long term,Unfurnished,Ask agent,Flat,,1.0,Ask agent,0.4,3,75
"Duncan House, Pimlico, SW1",SW1,3135,3617,Long term,Furnished,Ask agent,Apartment,2.0,1.0,551 sq ft,0.4,3,76
"Prince of Wales Drive, Prince of Wales Drive, London, SW11",SW11,2200,2539,Long term,Part furnished,Ask agent,Flat,1.0,1.0,608 sq ft,0.2,3,77
"Waldegrave Road, Teddington",,2595,0,Long term,Unfurnished,Ask agent,Flat,3.0,2.0,"1,119 sq ft",0.5,3,78
"Gloucester Road, Kensington, SW7",SW7,2350,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,377 sq ft,0.3,3,79
"Clarendon Gardens, HA9",HA9,3500,0,Long term,Part furnished,Ask agent,Semi-Detached,6.0,3.0,Ask agent,0.5,3,80
"Beckford Close, Kensington",,3358,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,2.0,Ask agent,0.4,3,81
"Ashwell House, Merrick Road, Southall, UB2",UB2,1900,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,2.0,Ask agent,1.2,3,82
"Elgin Avenue, Maida Vale, W9",W9,2000,0,Long term,Part furnished,Ask agent,Flat,1.0,1.0,406 sq ft,0.4,3,83
"Duncan House, London, SW1V",SW1V,5308,6124,Long term,Furnished,Ask agent,Apartment,3.0,2.0,880 sq ft,0.4,3,84
"Carlyle Court, Chelsea Harbour",,4312,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.6,3,85
"Curzon Street, London",,3497,4035,Long term,Furnished,Ask agent,Flat,1.0,1.0,526 sq ft,0.4,3,86
"Coster Avenue, London, N4",N4,3380,0,Long term,Furnished,Ask agent,Flat,2.0,,987 sq ft,0.4,3,87
"Richmond Way, Shepherds Bush",,5200,0,Long term,Ask agent,Ask agent,Flat,5.0,3.0,Ask agent,0.3,3,88
"Trelawney House, Union Street London SE1",SE1,2200,0,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3,89
Crouch Hall Road London N8,,2200,2538,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.8,3,90
"Tabernacle Street, Old Street London EC2A",EC21,2025,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,91
"Ospringe House, Wootton Street London SE1",SE1,1950,0,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.2,3,92
"Hayles Street, London",,4000,4615,Long term,Part furnished,Ask agent,House,4.0,1.0,Ask agent,0.2,3,93
"Elgood House, 
Wellington Road, NW8",NW8,2850,3288,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,1.0,Ask agent,0.4,3,94
"Luke Street, Shoreditch, London, EC2A",EC2A,2200,2538,Long term,Unfurnished,Ask agent,Apartment,1.0,1.0,525-530 sq ft,0.3,3,95
"Stokenchurch Street, Fulham",,10833,12500,Long term,Ask agent,Ask agent,House,5.0,4.0,Ask agent,0.4,3,96
"Ashley Road, London, N17",N17,1900,2192,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,97
"Palmer Road, London, SW11",SW11,4225,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,855 sq ft,0.2,3,98
"Lockgate Road, Imperial Wharf, SW6",SW6,2700,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,99
"South Western Road, Twickenham, TW1",TW1,2950,3403,Long term,Unfurnished,Ask agent,House,3.0,2.0,Ask agent,0.6,3,100
"Grange Grove, London",,2499,2884,,Furnished,Ask agent,Ground Flat,2.0,1.0,Ask agent,0.3,3,101
The Dumont,,2899,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3,102
"Fulham Park Gardens, 
Parsons Green, SW6",SW6,5300,7338,Long term,Unfurnished,Ask agent,Maisonette,3.0,2.0,"1,464 sq ft",0.5,3,103
"Lords View, St Johns Wood Road, NW8",NW8,2200,2538,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.6,3,104
"Elmfield Way, London",,2300,2654,,Furnished,Ask agent,Apartment,3.0,1.0,787 sq ft,0.4,3,105
Station Road New Barnet,,1700,0,,Unfurnished,Ask agent,Flat,1.0,1.0,549 sq ft,0.6,3,106
"Wales Farm Road, London",,2900,0,Long term,Ask agent,Ask agent,House,3.0,2.0,Ask agent,0.5,3,107
"Glebe Road, UXBRIDGE, Greater London",,1900,2192,Long term,Furnished,Ask agent,Semi-Detached,4.0,1.0,Ask agent,1.5,3,108
"Maidstone Buildings Mews, Borough",,4996,0,Short term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3,109
"Southwark Bridge Road, Southwark Bridge Road",,4000,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.1,3,110
"Double En-Suite, London, N4",,1500,1500,Long term,Furnished,Ask agent,House Share,1.0,20.0,Ask agent,0.4,3,111
"Hatfield Rd, St Albans, AL1",AL1,1149,1326,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1.0,Ask agent,1.2,3,112
"Southgate, London, N14",N14,1378,1590,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.7,3,113
"Kingsley Avenue, Hounslow",,1400,0,Long term,Ask agent,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,114
"Great Cambridge Road, London, N18",N18,1350,1350,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1.0,Ask agent,0.9,3,115
"Highview Gardens, London, N11",N11,2200,2538,Long term,Unfurnished,Ask agent,Maisonette,3.0,2.0,Ask agent,0.4,3,116
"Hounslow, Hounslow, TW3",TW3,1400,1400,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.6,3,117
"Northolme Road, Highbury N5",,1712,0,,Ask agent,Ask agent,Flat,1.0,,Ask agent,0.6,3,118
"Whitehall, London, SW1A",SW1A,3467,4000,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.2,3,119
"Watford, Watford, WD19",WD19,2700,2700,Long term,Unfurnished,Ask agent,Bungalow,4.0,2.0,Ask agent,1.0,3,120
"Kingsland Road, London, E8",,1600,1800,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,121
"Station Road, Langley, Slough, SL3",SL3,1500,1731,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,1.3,3,122
"Chancery Lane, London, WC2A 1LG, UK",,4140,0,,Furnished,Ask agent,Apartment,1.0,1.0,410 sq ft,0.3,3,123
"Newfield Rise, London, NW2",NW2,1395,1395,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.9,3,124
"Emerson Apartments, New River Village, Hornsey, N8",,1475,1701,Long term,Unfurnished,Ask agent,Studio,,1.0,360 sq ft,0.5,3,125
"Petersham Road, Richmond",,1750,2019,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,0.7,3,126
Mapesbury Road NW2,,3500,4038,Long term,Unfurnished,Ask agent,Flat,3.0,2.0,"1,151 sq ft",0.4,3,127
Harbut Road London SW11,,4750,0,Long term,Part furnished,Ask agent,House,4.0,2.0,Ask agent,0.6,3,128
"Chiswick Village, London, W4",,2500,2880,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,3.0,,Ask agent,0.5,3,129
"Union Street, London Bridge",,1972,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3,130
"Denbigh Street, Pimlico",,2700,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3,131
Prince of Wales Terrace W8,,17333,0,Long term,Furnished,Ask agent,Apartment,3.0,3.0,"1,181 sq ft",0.5,3,132
"Jamestown Road, Camden Town",,2999,0,Long term,Unfurnished,Ask agent,Flat,2.0,2.0,Ask agent,0.3,3,133
"Oakley Street, London, SW3",SW3,2450,2450,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.8,3,134
"R5 / 45 Ashford Road, Ashford, TW15",TW15,930,930,Long term,Furnished,Ask agent,House Share,1.0,1.0,Ask agent,1.2,3,135
"Doulton House, SW6",SW6,3033,3500,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,2.0,Ask agent,0.5,3,136
be:here Hayes,,1185,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,560 sq ft,1.4,3,137
Methuen Park Muswell Hill N10,,2300,0,Long term,Part furnished,Ask agent,Flat,2.0,1.0,Ask agent,1.1,3,138
Annex Available in Slough,,1200,1625,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,1.8,3,139
"Keystone Crescent, King's Cross",,3150,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,1.0,Ask agent,0.2,3,140
"Southampton Row, London, WC1B",WC1B,8000,11076,Long term,Furnished,Ask agent,Apartment,3.0,3.0,Ask agent,0.3,3,141
"Baltic Avenue, Brentford",,2200,2538,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,1.0,861 sq ft,0.6,3,142
"Archway Road, London, N6",,2799,3230,Long term,Unfurnished,Ask agent,Terraced,2.0,2.0,Ask agent,0.7,3,143
"The Avenue, Hatch End",,1675,1932,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.7,3,144
"Lower Clapton Road, CLAPTON, E5",,1650,1903,,Unfurnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.5,3,145
"Brecon Lodge, Porters Way, West Drayton, UB7",UB7,1450,1673,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,1.4,3,146
"Hamilton Terrace, London, NW8",NW8,52000,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Detached,4.0,2.0,"4,501 sq ft",0.4,3,147
"Alder House, 2 Electric Boulevard, Battersea, SW11",SW11,8880,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,3.0,3.0,Ask agent,0.2,3,148
"Luke Street, London, EC2A",EC2A,2201,0,Long term,Unfurnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,149
"Park Road, Marylebone, NW1",NW1,2500,2884,Long term,Part furnished,Ask agent,Apartment,2.0,1.0,710 sq ft,0.4,3,150
"Pavilion Road, Knightsbridge, London",,14950,0,Long term,Unfurnished,Ask agent,Terraced,4.0,3.0,Ask agent,0.4,3,151
"Cornwall Gardens, London, SW7",SW7,5499,0,Long term,Unfurnished,Ask agent,Flat,3.0,2.0,Ask agent,0.4,3,152
"Novello Street, SW6",SW6,7000,8076,Long term,Unfurnished,Ask agent,Terraced,5.0,4.0,"1,915 sq ft",0.4,3,153
"Iris House, 2 Cedrus Avenue, SOUTHALL, UB1",UB1,1450,1673,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,1.3,3,154
"York Way, London, N1",,4465,4465,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,2.0,Ask agent,0.7,3,155
"Georges Wood Road, Brookmans Park, Hertfordshire, AL9",AL9,2350,2653,Long term,Unfurnished,Ask agent,Apartment,3.0,2.0,Ask agent,1.5,3,156
"Ballards Lane, London",,1400,0,Long term,Unfurnished,Ask agent,,,1.0,Ask agent,0.7,3,157
"Minories, 
Minories, EC3N",EC3N,4500,5192,Long term,Unfurnished,Ask agent,Flat,2.0,2.0,Ask agent,0.2,3,158
"Affinity House, Beresford Avenue, HA0",HA0,2500,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,2.0,Ask agent,0.6,3,159
"Dukes Wood Drive, Gerrards Cross, SL9",SL9,4990,0,Long term,Unfurnished,Ask agent,Detached,5.0,3.0,Ask agent,1.8,3,160
"New Union Square, London, SW11",SW11,4247,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,947 sq ft,0.4,3,161
"Beech Hill Avenue, Hadley Wood, Hertfordshire, EN4",EN4,3500,0,Long term,Unfurnished,Ask agent,Apartment,3.0,3.0,Ask agent,0.9,3,162
"Bankside Down, Old Chorleywood Road, Rickmansworth, Hertfordshire, WD3",WD3,2500,0,Short term,Unfurnished,Ask agent,Semi-Detached,3.0,2.0,Ask agent,1.1,3,163
"Whitefield Close, Putney, London",,2000,2192,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.5,3,164
"Collingham Road, London, SW5",SW5,2652,0,,Furnished,Ask agent,Flat,1.0,1.0,35 sq ft,0.4,3,165
"Tantallon Road, London, SW12",SW12,3000,3461,Long term,Part furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.4,3,166
"St. Johns Wood Road, St. Johns Wood, NW8",NW8,2300,2653,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.5,3,167
"Cotswold Gardens, London",,2535,0,Long term,Unfurnished,Ask agent,Semi-Detached,4.0,1.0,Ask agent,0.8,3,168
"One Blackfriars, Southwark, London SE1",,4117,4750,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3,169
"Halkin Street, Belgravia",,13628,18870,Long term,Furnished,Ask agent,Flat,3.0,2.0,"2,046 sq ft",0.3,3,170
Chesfield Road Kingston upon Thames KT2,,3790,4373,Long term,Unfurnished,Ask agent,Detached,3.0,2.0,Ask agent,0.7,3,171
Dorset Mews London SW1X,,23833,27500,Long term,Furnished,Ask agent,Town House,3.0,3.0,Ask agent,0.4,3,172
"Westbourne Park Road, 
Westbourne Park, W11",W11,2650,3058,Long term,Part furnished,Ask agent,Flat,1.0,1.0,793 sq ft,0.4,3,173
"Queens Gate, 
South Kensington, SW7",SW7,3000,3462,Long term,Part furnished,Ask agent,Flat,1.0,1.0,690 sq ft,0.4,3,174
"Legacy Building, Embassy Gardens, Nine Elms SW11",,3683,4250,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,175
"Commercial Street, Spitlafields",,4000,0,Long term,Ask agent,Ask agent,Flat,2.0,2.0,Ask agent,0.3,3,176
"Whippendell Road, Watford, WD18",WD18,930,1073,Long term,Furnished,Ask agent,House Share,1.0,1.0,Ask agent,0.9,3,177
"Redington Road, Hampstead NW3",,3878,0,Long term,Ask agent,Ask agent,Flat,3.0,2.0,Ask agent,0.4,3,178
"Riverside Road, St. Albans",,1350,0,Long term,Unfurnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.7,3,179
"Westworth House, The Kingsley, Hammersmith W6",,2015,2325,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.2,3,180
"Gerrards Cross Road, Stoke Poges, SL2",SL2,4500,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Detached,5.0,3.0,Ask agent,3.0,3,181
"Abbey Orchard Street, London, SW1P",SW1P,4745,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,957 sq ft,0.3,3,182
"Mercantile House  38, UXBRIDGE, Middlesex",,1195,1379,Long term,Ask agent,Ask agent,Apartment,,1.0,Ask agent,1.2,3,183
"Dorset House, 
Gloucester Place, NW1",NW1,7000,9692,Long term,Furnished,Ask agent,Flat,3.0,2.0,Ask agent,0.2,3,184
"Parkhurst Court, London, N7",,2950,2950,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,3.0,1.0,Ask agent,0.5,3,185
"The Tower, St George's Wharf, London, SW8",SW8,6500,0,Long term,Furnished,Ask agent,Apartment,3.0,2.0,Ask agent,0.3,3,186
"Acton Lane, London, W4",,1798,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,187
"John Archer Way, London",,2000,2307,Long term,Ask agent,Ask agent,Apartment,2.0,2.0,625 sq ft,0.7,3,188
DAMAC TOWER 71 Bondway,,4500,5538,Long term,Furnished,Ask agent,Flat,2.0,,Ask agent,0.3,3,189
"Mercantile House 38 Market, Uxbridge",,1176,1357,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,1.1,3,190
"Hill Rise, Greenford",,1800,1800,Long term,Unfurnished,Ask agent,Ground Flat,2.0,1.0,Ask agent,0.6,3,191
"Abbey Orchard Street, London, SW1P",SW1P,4550,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,957 sq ft,0.3,3,192
"Mercantile House 38 M, UXBRIDGE, Middlesex",,1230,1347,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,1.2,3,193
"Printworks, Amelia Street, SE17",SE17,1842,2375,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3,194
"Cornwall Gardens, South Kensington",,2999,0,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3,195
