address,age_years,last_service_years_ago,seasonality,risk_score,recommended_action
2162.0,59,4,Spring,7,Monitor
820.0,25,4,Spring,1,Routine
2878.0,115,8,Autumn,3,Routine
1748.0,77,2,Winter,1,Routine
151.0,15,2,Winter,1,Routine
1466.0,113,1,Spring,2,Routine
2388.0,92,7,Summer,6,Monitor
229.0,43,2,Spring,5,Monitor
165.0,113,3,Autumn,3,Routine
2531.0,76,3,Spring,6,Monitor
1628.0,74,2,Autumn,8,Immediate Action
351.0,117,7,Winter,3,Routine
1172.0,74,9,Winter,2,Routine
126.0,89,1,Summer,5,Monitor
1636.0,36,4,Summer,2,Routine
2002.0,26,2,Winter,8,Immediate Action
2022.0,108,0,Spring,1,Routine
668.0,70,2,Summer,7,Monitor
1886.0,6,6,Summer,6,Monitor
1377.0,37,1,Summer,5,Monitor
2874.0,79,9,Summer,2,Routine
1070.0,25,0,Winter,6,Monitor
228.0,23,6,Winter,4,Routine
1767.0,82,7,Spring,5,Monitor
108.0,20,4,Summer,4,Routine
839.0,30,7,Winter,8,Immediate Action
1845.0,81,2,Autumn,6,Monitor
277.0,17,3,Spring,9,Immediate Action
237.0,7,0,Summer,5,Monitor
2820.0,94,6,Summer,8,Immediate Action
632.0,73,7,Summer,9,Immediate Action
2518.0,9,9,Spring,5,Monitor
2427.0,91,5,Winter,8,Immediate Action
676.0,42,9,Spring,6,Monitor
1936.0,105,6,Winter,2,Routine
1168.0,58,4,Autumn,7,Monitor
534.0,78,4,Spring,6,Monitor
812.0,112,6,Summer,4,Routine
2793.0,21,4,Spring,8,Immediate Action
2149.0,113,7,Summer,6,Monitor
1548.0,70,4,Winter,6,Monitor
648.0,18,2,Winter,6,Monitor
2816.0,35,2,Summer,7,Monitor
2194.0,68,7,Autumn,5,Monitor
2215.0,39,0,Winter,6,Monitor
2807.0,9,3,Spring,3,Routine
1071.0,118,7,Autumn,2,Routine
81.0,103,5,Winter,4,Routine
1732.0,33,6,Spring,5,Monitor
811.0,71,2,Winter,6,Monitor
2003.0,89,5,Winter,7,Monitor
2575.0,74,0,Summer,8,Immediate Action
98.0,113,6,Spring,9,Immediate Action
1396.0,66,7,Winter,9,Immediate Action
753.0,109,0,Winter,7,Monitor
1734.0,53,1,Autumn,6,Monitor
1281.0,63,7,Summer,3,Routine
81.0,110,8,Autumn,1,Routine
1733.0,98,7,Autumn,1,Routine
2120.0,45,7,Winter,5,Monitor
670.0,65,8,Winter,6,Monitor
1807.0,91,1,Spring,4,Routine
1177.0,19,1,Autumn,6,Monitor
469.0,27,9,Spring,4,Routine
1269.0,32,8,Summer,8,Immediate Action
1088.0,119,6,Summer,4,Routine
2405.0,118,2,Autumn,6,Monitor
1732.0,119,7,Spring,3,Routine
2177.0,74,0,Spring,4,Routine
2294.0,27,9,Spring,7,Monitor
1420.0,33,4,Summer,4,Routine
1792.0,49,8,Spring,1,Routine
340.0,56,1,Winter,7,Monitor
547.0,44,3,Winter,2,Routine
1143.0,12,8,Winter,3,Routine
230.0,40,8,Spring,7,Monitor
2413.0,85,6,Spring,2,Routine
1855.0,7,3,Winter,9,Immediate Action
908.0,115,2,Summer,6,Monitor
2707.0,85,7,Autumn,5,Monitor
2862.0,25,9,Summer,3,Routine
2593.0,49,2,Winter,6,Monitor
2027.0,86,5,Autumn,2,Routine
2707.0,9,1,Spring,6,Monitor
2127.0,13,4,Autumn,3,Routine
2379.0,32,5,Winter,9,Immediate Action
665.0,88,4,Autumn,5,Monitor
1735.0,37,2,Summer,4,Routine
858.0,26,1,Autumn,3,Routine
2294.0,38,8,Autumn,8,Immediate Action
1191.0,48,6,Summer,6,Monitor
892.0,9,4,Spring,4,Routine
907.0,59,5,Autumn,1,Routine
2254.0,93,3,Spring,7,Monitor
4.0,46,8,Summer,9,Immediate Action
895.0,78,2,Summer,8,Immediate Action
2629.0,114,3,Spring,6,Monitor
976.0,32,9,Summer,4,Routine
72.0,33,5,Autumn,8,Immediate Action
2707.0,62,7,Autumn,5,Monitor
2706.0,25,0,Summer,7,Monitor
507.0,22,8,Spring,7,Monitor
1325.0,7,3,Winter,5,Monitor
1017.0,91,9,Spring,5,Monitor
2660.0,52,0,Spring,6,Monitor
2234.0,16,2,Spring,3,Routine
191.0,78,5,Autumn,8,Immediate Action
96.0,104,6,Spring,9,Immediate Action
1324.0,57,6,Autumn,5,Monitor
2420.0,22,6,Winter,7,Monitor
2054.0,82,9,Summer,6,Monitor
284.0,70,1,Winter,3,Routine
101.0,24,1,Spring,4,Routine
2409.0,38,9,Summer,7,Monitor
780.0,10,9,Winter,8,Immediate Action
2707.0,48,1,Autumn,9,Immediate Action
1084.0,17,0,Winter,6,Monitor
2196.0,72,7,Winter,2,Routine
192.0,82,5,Spring,9,Immediate Action
835.0,65,8,Spring,2,Routine
127.0,25,3,Spring,9,Immediate Action
591.0,94,2,Spring,5,Monitor
1123.0,114,2,Winter,9,Immediate Action
2867.0,25,8,Winter,2,Routine
1286.0,115,6,Winter,8,Immediate Action
1689.0,114,8,Autumn,2,Routine
149.0,109,3,Autumn,3,Routine
583.0,87,1,Spring,9,Immediate Action
990.0,38,0,Autumn,2,Routine
1297.0,40,6,Spring,4,Routine
422.0,77,2,Winter,8,Immediate Action
256.0,60,1,Winter,2,Routine
1360.0,19,2,Autumn,5,Monitor
2585.0,90,1,Winter,7,Monitor
924.0,52,8,Autumn,8,Immediate Action
1074.0,15,6,Summer,4,Routine
1932.0,91,2,Autumn,8,Immediate Action
78.0,28,1,Summer,3,Routine
589.0,50,6,Autumn,2,Routine
2192.0,112,0,Summer,4,Routine
122.0,63,2,Summer,9,Immediate Action
424.0,35,3,Winter,5,Monitor
2065.0,56,1,Spring,3,Routine
435.0,83,3,Spring,9,Immediate Action
1125.0,51,5,Spring,2,Routine
702.0,112,6,Winter,6,Monitor
570.0,58,3,Spring,7,Monitor
1795.0,73,2,Summer,2,Routine
2701.0,33,0,Spring,2,Routine
1400.0,81,8,Winter,2,Routine
2549.0,63,1,Autumn,7,Monitor
1547.0,48,9,Summer,8,Immediate Action
2828.0,110,3,Summer,7,Monitor
879.0,6,1,Spring,5,Monitor
2186.0,67,7,Summer,6,Monitor
227.0,102,6,Summer,7,Monitor
2599.0,41,9,Spring,9,Immediate Action
1735.0,60,9,Spring,9,Immediate Action
2560.0,17,3,Winter,3,Routine
2287.0,92,7,Summer,2,Routine
1852.0,27,0,Summer,3,Routine
1083.0,56,8,Spring,4,Routine
1746.0,13,5,Winter,9,Immediate Action
1335.0,75,0,Spring,7,Monitor
808.0,96,3,Autumn,6,Monitor
259.0,69,5,Winter,7,Monitor
1728.0,31,4,Autumn,9,Immediate Action
1766.0,60,3,Spring,3,Routine
1093.0,60,0,Autumn,1,Routine
2550.0,75,5,Winter,4,Routine
2690.0,112,9,Winter,6,Monitor
1292.0,119,3,Spring,6,Monitor
1932.0,77,1,Spring,2,Routine
501.0,99,2,Summer,2,Routine
449.0,27,8,Autumn,6,Monitor
2000.0,18,2,Autumn,8,Immediate Action
616.0,62,8,Spring,6,Monitor
541.0,52,1,Summer,4,Routine
451.0,14,9,Winter,6,Monitor
1148.0,109,6,Winter,1,Routine
2633.0,57,0,Autumn,9,Immediate Action
1932.0,92,7,Autumn,9,Immediate Action
463.0,27,4,Winter,5,Monitor
1223.0,64,2,Spring,8,Immediate Action
2229.0,49,9,Autumn,7,Monitor
962.0,25,3,Summer,4,Routine
2715.0,98,6,Summer,3,Routine
1191.0,28,6,Spring,6,Monitor
2103.0,29,7,Summer,3,Routine
1285.0,57,6,Spring,8,Immediate Action
1284.0,76,7,Summer,4,Routine
2000.0,87,3,Summer,1,Routine
1272.0,59,0,Spring,8,Immediate Action
658.0,85,9,Summer,7,Monitor
1971.0,50,2,Summer,3,Routine
712.0,82,5,Spring,6,Monitor
2694.0,34,6,Autumn,6,Monitor
489.0,52,9,Spring,3,Routine
2715.0,13,3,Winter,1,Routine
124.0,50,2,Summer,9,Immediate Action
985.0,38,9,Winter,1,Routine
2355.0,77,4,Winter,6,Monitor
258.0,103,8,Spring,1,Routine
2056.0,115,8,Autumn,4,Routine
2286.0,85,8,Spring,5,Monitor
218.0,119,4,Spring,3,Routine
1635.0,59,4,Spring,8,Immediate Action
508.0,51,2,Autumn,2,Routine
112.0,28,2,Winter,3,Routine
636.0,48,3,Autumn,6,Monitor
1651.0,31,3,Winter,3,Routine
2852.0,98,0,Winter,9,Immediate Action
287.0,81,5,Spring,5,Monitor
1222.0,66,0,Spring,2,Routine
1687.0,50,9,Winter,7,Monitor
2815.0,80,5,Spring,9,Immediate Action
2634.0,90,1,Spring,6,Monitor
2634.0,25,3,Spring,5,Monitor
1481.0,113,1,Summer,7,Monitor
2822.0,110,6,Winter,3,Routine
2475.0,44,5,Winter,2,Routine
1469.0,60,5,Summer,3,Routine
299.0,54,5,Spring,2,Routine
1469.0,53,7,Spring,8,Immediate Action
156.0,6,1,Summer,4,Routine
1469.0,66,0,Autumn,7,Monitor
510.0,50,7,Spring,2,Routine
1530.0,76,3,Autumn,1,Routine
2817.0,99,9,Autumn,7,Monitor
734.0,20,4,Winter,1,Routine
1719.0,85,2,Summer,2,Routine
2562.0,44,3,Summer,6,Monitor
2333.0,69,8,Summer,2,Routine
446.0,21,8,Spring,6,Monitor
769.0,82,4,Spring,5,Monitor
359.0,84,8,Autumn,2,Routine
2019.0,104,7,Autumn,3,Routine
568.0,50,8,Autumn,5,Monitor
118.0,11,1,Summer,2,Routine
1813.0,105,5,Winter,1,Routine
1469.0,15,7,Autumn,9,Immediate Action
258.0,41,3,Autumn,4,Routine
47.0,93,8,Summer,9,Immediate Action
1995.0,13,7,Spring,9,Immediate Action
841.0,99,0,Autumn,2,Routine
884.0,20,3,Autumn,2,Routine
1688.0,109,4,Summer,9,Immediate Action
2631.0,93,6,Autumn,4,Routine
1656.0,96,4,Summer,9,Immediate Action
1954.0,32,3,Winter,9,Immediate Action
1277.0,45,6,Spring,7,Monitor
2055.0,104,5,Spring,9,Immediate Action
2527.0,74,9,Spring,7,Monitor
2494.0,71,2,Spring,1,Routine
915.0,47,4,Winter,6,Monitor
968.0,24,9,Spring,9,Immediate Action
884.0,31,7,Summer,3,Routine
2874.0,67,2,Winter,1,Routine
1104.0,107,6,Winter,1,Routine
1982.0,110,4,Spring,1,Routine
2406.0,108,1,Spring,3,Routine
2196.0,61,9,Autumn,7,Monitor
2530.0,80,4,Spring,6,Monitor
114.0,107,0,Spring,5,Monitor
2104.0,6,9,Autumn,8,Immediate Action
1794.0,119,6,Summer,7,Monitor
910.0,44,3,Spring,9,Immediate Action
1749.0,70,4,Summer,2,Routine
1268.0,42,1,Autumn,3,Routine
1006.0,57,7,Spring,4,Routine
2671.0,44,1,Autumn,8,Immediate Action
1647.0,80,4,Spring,7,Monitor
1113.0,45,7,Summer,7,Monitor
1114.0,75,6,Spring,7,Monitor
2506.0,57,2,Spring,3,Routine
2312.0,91,4,Autumn,9,Immediate Action
1649.0,91,6,Spring,6,Monitor
969.0,62,4,Autumn,3,Routine
1487.0,102,8,Spring,3,Routine
1190.0,56,0,Autumn,3,Routine
1100.0,16,6,Winter,4,Routine
2004.0,110,0,Spring,4,Routine
247.0,59,5,Summer,5,Monitor
472.0,42,5,Spring,4,Routine
576.0,99,0,Summer,5,Monitor
434.0,33,9,Summer,4,Routine
1452.0,70,7,Summer,3,Routine
2264.0,56,4,Winter,5,Monitor
612.0,81,0,Autumn,5,Monitor
1865.0,38,3,Summer,1,Routine
1953.0,63,3,Summer,1,Routine
496.0,27,6,Autumn,3,Routine
416.0,119,7,Winter,4,Routine
1796.0,38,6,Summer,7,Monitor
612.0,109,2,Winter,4,Routine
1793.0,39,4,Winter,4,Routine
948.0,108,7,Winter,2,Routine
581.0,74,0,Winter,1,Routine
2779.0,117,9,Autumn,4,Routine
204.0,51,9,Summer,2,Routine
1820.0,109,4,Summer,4,Routine
2319.0,62,4,Spring,2,Routine
1173.0,113,7,Winter,3,Routine
994.0,20,8,Autumn,3,Routine
2480.0,63,0,Summer,1,Routine
2571.0,24,2,Winter,4,Routine
240.0,93,2,Summer,1,Routine
713.0,72,3,Autumn,8,Immediate Action
334.0,14,3,Spring,3,Routine
1468.0,9,6,Spring,1,Routine
1459.0,48,3,Spring,4,Routine
1596.0,71,6,Summer,4,Routine
2613.0,119,0,Autumn,4,Routine
105.0,10,2,Autumn,4,Routine
1674.0,99,6,Winter,7,Monitor
1230.0,46,6,Autumn,2,Routine
1200.0,94,3,Spring,7,Monitor
1882.0,55,2,Spring,8,Immediate Action
2219.0,47,3,Autumn,3,Routine
2647.0,84,3,Autumn,3,Routine
2792.0,43,5,Summer,7,Monitor
120.0,20,3,Autumn,7,Monitor
2024.0,102,8,Winter,6,Monitor
1629.0,103,2,Summer,9,Immediate Action
82.0,7,3,Spring,7,Monitor
1988.0,119,1,Autumn,1,Routine
181.0,108,3,Autumn,1,Routine
343.0,77,4,Spring,7,Monitor
125.0,12,3,Summer,3,Routine
2102.0,43,9,Spring,6,Monitor
2647.0,106,4,Spring,8,Immediate Action
365.0,93,5,Spring,5,Monitor
582.0,94,4,Autumn,1,Routine
1047.0,63,8,Winter,4,Routine
1774.0,12,1,Spring,9,Immediate Action
288.0,86,1,Summer,1,Routine
1373.0,100,1,Summer,4,Routine
236.0,83,0,Summer,8,Immediate Action
1511.0,61,0,Winter,8,Immediate Action
2647.0,33,7,Summer,1,Routine
322.0,21,1,Spring,7,Monitor
1001.0,107,9,Autumn,5,Monitor
2547.0,14,6,Spring,1,Routine
2097.0,107,3,Spring,6,Monitor
512.0,87,9,Summer,3,Routine
2135.0,103,9,Winter,7,Monitor
1336.0,14,8,Spring,4,Routine
99.0,55,4,Winter,2,Routine
364.0,32,9,Spring,6,Monitor
109.0,74,4,Spring,4,Routine
1473.0,11,8,Autumn,4,Routine
883.0,116,8,Spring,7,Monitor
698.0,102,7,Winter,3,Routine
1275.0,80,5,Spring,5,Monitor
2810.0,89,9,Summer,9,Immediate Action
1019.0,112,2,Autumn,9,Immediate Action
311.0,83,7,Autumn,3,Routine
2450.0,116,9,Summer,8,Immediate Action
2840.0,85,2,Summer,5,Monitor
759.0,13,8,Spring,1,Routine
1101.0,44,2,Spring,8,Immediate Action
668.0,90,5,Spring,8,Immediate Action
2540.0,38,0,Summer,7,Monitor
2389.0,41,2,Autumn,2,Routine
2582.0,79,7,Winter,4,Routine
2122.0,16,8,Winter,2,Routine
2390.0,69,1,Summer,9,Immediate Action
260.0,60,9,Winter,3,Routine
187.0,49,2,Summer,7,Monitor
1644.0,80,2,Summer,1,Routine
836.0,32,0,Spring,7,Monitor
2658.0,67,3,Winter,9,Immediate Action
1111.0,97,8,Autumn,1,Routine
2422.0,70,3,Spring,2,Routine
2377.0,5,7,Summer,6,Monitor
201.0,45,7,Summer,2,Routine
2095.0,14,9,Spring,2,Routine
1474.0,16,7,Winter,1,Routine
169.0,90,5,Spring,2,Routine
1258.0,90,8,Autumn,4,Routine
1754.0,87,2,Winter,8,Immediate Action
1683.0,27,5,Autumn,1,Routine
1219.0,34,4,Summer,6,Monitor
1890.0,54,9,Spring,5,Monitor
1735.0,19,5,Summer,7,Monitor
1735.0,32,2,Autumn,4,Routine
2576.0,18,4,Winter,8,Immediate Action
1509.0,62,4,Winter,9,Immediate Action
1435.0,68,3,Spring,6,Monitor
392.0,80,9,Summer,8,Immediate Action
980.0,17,6,Spring,1,Routine
980.0,69,4,Summer,1,Routine
1679.0,9,4,Autumn,1,Routine
1679.0,89,8,Autumn,6,Monitor
1064.0,42,1,Summer,7,Monitor
2705.0,17,6,Spring,6,Monitor
2639.0,116,9,Spring,2,Routine
309.0,106,4,Winter,6,Monitor
1435.0,49,1,Winter,2,Routine
794.0,14,6,Summer,6,Monitor
227.0,23,0,Spring,2,Routine
1485.0,94,1,Summer,5,Monitor
1950.0,83,2,Autumn,4,Routine
1858.0,78,5,Autumn,8,Immediate Action
1010.0,78,2,Spring,4,Routine
760.0,81,5,Winter,4,Routine
699.0,56,5,Summer,2,Routine
2431.0,18,5,Spring,8,Immediate Action
1188.0,94,4,Winter,6,Monitor
1223.0,77,4,Spring,4,Routine
429.0,96,6,Winter,4,Routine
497.0,26,3,Spring,7,Monitor
2855.0,76,3,Spring,4,Routine
1603.0,99,1,Autumn,7,Monitor
1704.0,93,8,Autumn,1,Routine
765.0,6,3,Spring,4,Routine
909.0,65,3,Summer,7,Monitor
952.0,101,5,Autumn,7,Monitor
954.0,19,9,Autumn,9,Immediate Action
141.0,54,8,Autumn,1,Routine
1872.0,26,6,Winter,8,Immediate Action
2442.0,44,7,Winter,2,Routine
814.0,110,1,Spring,5,Monitor
883.0,83,8,Autumn,2,Routine
747.0,27,2,Autumn,6,Monitor
2630.0,112,3,Autumn,1,Routine
1756.0,81,4,Summer,1,Routine
2829.0,102,5,Summer,3,Routine
370.0,34,2,Summer,1,Routine
1435.0,55,5,Spring,8,Immediate Action
890.0,41,8,Spring,4,Routine
1712.0,107,1,Autumn,6,Monitor
993.0,17,9,Spring,1,Routine
1236.0,7,6,Summer,1,Routine
164.0,55,4,Spring,2,Routine
2045.0,99,0,Summer,5,Monitor
580.0,19,3,Spring,2,Routine
206.0,79,9,Summer,8,Immediate Action
2063.0,22,1,Winter,8,Immediate Action
1105.0,44,6,Spring,2,Routine
1155.0,97,5,Spring,3,Routine
1229.0,77,3,Spring,5,Monitor
2098.0,115,2,Autumn,7,Monitor
2049.0,100,1,Winter,1,Routine
2021.0,29,3,Autumn,7,Monitor
1583.0,116,5,Spring,4,Routine
1500.0,45,2,Spring,2,Routine
2330.0,86,1,Autumn,8,Immediate Action
123.0,38,0,Winter,7,Monitor
2827.0,28,7,Spring,1,Routine
1435.0,47,2,Spring,7,Monitor
354.0,102,5,Autumn,4,Routine
2160.0,99,8,Summer,2,Routine
1081.0,71,3,Autumn,8,Immediate Action
2335.0,114,6,Spring,2,Routine
677.0,88,0,Autumn,5,Monitor
2037.0,108,3,Winter,9,Immediate Action
2788.0,33,8,Winter,1,Routine
2077.0,26,8,Autumn,8,Immediate Action
1330.0,57,2,Summer,6,Monitor
1154.0,95,8,Winter,3,Routine
1857.0,115,7,Winter,4,Routine
248.0,29,7,Summer,9,Immediate Action
998.0,109,3,Summer,9,Immediate Action
1538.0,88,2,Spring,9,Immediate Action
1933.0,6,4,Spring,9,Immediate Action
1234.0,106,9,Summer,4,Routine
2565.0,23,8,Spring,6,Monitor
350.0,22,7,Summer,7,Monitor
2778.0,69,9,Winter,5,Monitor
761.0,83,2,Spring,3,Routine
1499.0,59,7,Spring,9,Immediate Action
1917.0,49,9,Summer,4,Routine
1576.0,26,2,Spring,7,Monitor
25.0,54,1,Summer,3,Routine
1214.0,66,0,Winter,5,Monitor
2564.0,75,7,Winter,1,Routine
383.0,16,3,Spring,9,Immediate Action
1650.0,61,9,Winter,7,Monitor
502.0,114,4,Autumn,3,Routine
77.0,17,3,Spring,2,Routine
255.0,46,8,Spring,9,Immediate Action
448.0,48,7,Winter,5,Monitor
2768.0,10,0,Spring,2,Routine
2425.0,98,2,Winter,6,Monitor
1669.0,84,4,Summer,9,Immediate Action
2580.0,32,9,Autumn,2,Routine
2430.0,64,3,Autumn,1,Routine
2439.0,31,2,Spring,3,Routine
413.0,104,5,Autumn,9,Immediate Action
1328.0,116,2,Summer,2,Routine
461.0,39,3,Winter,6,Monitor
1186.0,17,3,Winter,1,Routine
703.0,78,7,Summer,1,Routine
1870.0,111,9,Summer,8,Immediate Action
293.0,57,4,Autumn,8,Immediate Action
1260.0,89,3,Winter,2,Routine
2502.0,67,2,Summer,3,Routine
704.0,23,8,Summer,4,Routine
1026.0,88,9,Autumn,9,Immediate Action
2164.0,115,8,Winter,8,Immediate Action
1791.0,63,8,Spring,5,Monitor
132.0,34,1,Spring,1,Routine
1778.0,114,8,Autumn,2,Routine
764.0,113,3,Summer,2,Routine
945.0,108,8,Spring,7,Monitor
479.0,29,0,Winter,4,Routine
1235.0,85,9,Winter,9,Immediate Action
1270.0,34,8,Autumn,1,Routine
1471.0,78,2,Winter,2,Routine
1202.0,26,7,Summer,3,Routine
1240.0,114,3,Spring,4,Routine
2805.0,43,0,Autumn,5,Monitor
1539.0,5,8,Autumn,2,Routine
426.0,75,1,Summer,5,Monitor
2670.0,71,1,Winter,7,Monitor
1781.0,90,7,Winter,8,Immediate Action
2141.0,31,3,Autumn,9,Immediate Action
2873.0,27,8,Autumn,2,Routine
1933.0,86,1,Spring,6,Monitor
2648.0,64,3,Summer,1,Routine
339.0,16,5,Autumn,8,Immediate Action
1841.0,46,4,Summer,7,Monitor
737.0,74,4,Autumn,9,Immediate Action
268.0,24,5,Winter,3,Routine
1331.0,24,3,Spring,9,Immediate Action
1264.0,89,8,Spring,5,Monitor
1288.0,14,2,Spring,1,Routine
2515.0,67,5,Summer,7,Monitor
1158.0,13,8,Summer,4,Routine
744.0,95,8,Spring,1,Routine
653.0,20,4,Summer,5,Monitor
1004.0,46,0,Winter,5,Monitor
2426.0,110,6,Spring,8,Immediate Action
906.0,9,1,Autumn,6,Monitor
831.0,48,3,Winter,6,Monitor
1465.0,49,8,Winter,6,Monitor
1247.0,29,8,Autumn,3,Routine
1700.0,90,7,Spring,5,Monitor
995.0,49,9,Spring,4,Routine
1933.0,8,3,Winter,7,Monitor
2188.0,10,8,Autumn,4,Routine
738.0,56,8,Winter,7,Monitor
1869.0,112,6,Winter,1,Routine
1653.0,43,1,Autumn,2,Routine
864.0,86,7,Spring,1,Routine
1802.0,75,0,Winter,4,Routine
898.0,74,7,Winter,2,Routine
521.0,21,7,Summer,8,Immediate Action
2872.0,14,0,Winter,8,Immediate Action
971.0,6,0,Winter,1,Routine
90.0,57,6,Winter,9,Immediate Action
1072.0,11,0,Autumn,1,Routine
1909.0,68,1,Spring,9,Immediate Action
50.0,38,5,Spring,2,Routine
1727.0,65,4,Spring,1,Routine
1341.0,74,7,Spring,9,Immediate Action
718.0,97,0,Autumn,5,Monitor
1933.0,41,6,Spring,2,Routine
2430.0,51,5,Winter,3,Routine
1103.0,96,1,Summer,4,Routine
2626.0,95,6,Autumn,6,Monitor
1933.0,32,0,Summer,6,Monitor
1049.0,112,8,Spring,2,Routine
1048.0,38,3,Winter,8,Immediate Action
1354.0,20,9,Spring,6,Monitor
971.0,61,8,Spring,1,Routine
2842.0,57,3,Summer,4,Routine
1212.0,114,2,Autumn,4,Routine
