property_id,address,age_years,construction_type,last_service_years_ago,seasonality
1689.0,1689.0,114,Modern Timber Frame,8,Autumn
149.0,149.0,109,Modern Timber Frame,3,Autumn
583.0,583.0,87,Modern Timber Frame,1,Spring
990.0,990.0,38,Post-War Concrete,0,Autumn
1297.0,1297.0,40,Modern Timber Frame,6,Spring
422.0,422.0,77,Edwardian Stone,2,Winter
256.0,256.0,60,Victorian Brick,1,Winter
1360.0,1360.0,19,Modern Timber Frame,2,Autumn
2585.0,2585.0,90,Modern Timber Frame,1,Winter
924.0,924.0,52,Edwardian Stone,8,Autumn
1074.0,1074.0,15,Victorian Brick,6,Summer
1932.0,1932.0,91,Victorian Brick,2,Autumn
78.0,78.0,28,Modern Timber Frame,1,Summer
589.0,589.0,50,Edwardian Stone,6,Autumn
2192.0,2192.0,112,Edwardian Stone,0,Summer
122.0,122.0,63,Post-War Concrete,2,Summer
424.0,424.0,35,Post-War Concrete,3,Winter
2065.0,2065.0,56,Post-War Concrete,1,Spring
435.0,435.0,83,Post-War Concrete,3,Spring
1125.0,1125.0,51,Modern Timber Frame,5,Spring
702.0,702.0,112,Edwardian Stone,6,Winter
570.0,570.0,58,Victorian Brick,3,Spring
1795.0,1795.0,73,Modern Timber Frame,2,Summer
2701.0,2701.0,33,Post-War Concrete,0,Spring
1400.0,1400.0,81,Post-War Concrete,8,Winter
2549.0,2549.0,63,Post-War Concrete,1,Autumn
1547.0,1547.0,48,Edwardian Stone,9,Summer
2828.0,2828.0,110,Edwardian Stone,3,Summer
879.0,879.0,6,Modern Timber Frame,1,Spring
2186.0,2186.0,67,Edwardian Stone,7,Summer
227.0,227.0,102,Post-War Concrete,6,Summer
2599.0,2599.0,41,Post-War Concrete,9,Spring
1735.0,1735.0,60,Modern Timber Frame,9,Spring
2560.0,2560.0,17,Edwardian Stone,3,Winter
2287.0,2287.0,92,Post-War Concrete,7,Summer
1852.0,1852.0,27,Modern Timber Frame,0,Summer
1083.0,1083.0,56,Modern Timber Frame,8,Spring
1746.0,1746.0,13,Victorian Brick,5,Winter
1335.0,1335.0,75,Modern Timber Frame,0,Spring
808.0,808.0,96,Post-War Concrete,3,Autumn
259.0,259.0,69,Modern Timber Frame,5,Winter
1728.0,1728.0,31,Post-War Concrete,4,Autumn
1766.0,1766.0,60,Post-War Concrete,3,Spring
1093.0,1093.0,60,Victorian Brick,0,Autumn
2550.0,2550.0,75,Modern Timber Frame,5,Winter
2690.0,2690.0,112,Modern Timber Frame,9,Winter
1292.0,1292.0,119,Modern Timber Frame,3,Spring
1932.0,1932.0,77,Victorian Brick,1,Spring
501.0,501.0,99,Post-War Concrete,2,Summer
449.0,449.0,27,Post-War Concrete,8,Autumn
2000.0,2000.0,18,Post-War Concrete,2,Autumn
616.0,616.0,62,Edwardian Stone,8,Spring
541.0,541.0,52,Edwardian Stone,1,Summer
451.0,451.0,14,Victorian Brick,9,Winter
1148.0,1148.0,109,Modern Timber Frame,6,Winter
2633.0,2633.0,57,Victorian Brick,0,Autumn
1932.0,1932.0,92,Modern Timber Frame,7,Autumn
463.0,463.0,27,Edwardian Stone,4,Winter
1223.0,1223.0,64,Post-War Concrete,2,Spring
2229.0,2229.0,49,Edwardian Stone,9,Autumn
962.0,962.0,25,Modern Timber Frame,3,Summer
2715.0,2715.0,98,Post-War Concrete,6,Summer
1191.0,1191.0,28,Modern Timber Frame,6,Spring
2103.0,2103.0,29,Victorian Brick,7,Summer
1285.0,1285.0,57,Edwardian Stone,6,Spring
1284.0,1284.0,76,Post-War Concrete,7,Summer
2000.0,2000.0,87,Post-War Concrete,3,Summer
1272.0,1272.0,59,Edwardian Stone,0,Spring
658.0,658.0,85,Victorian Brick,9,Summer
1971.0,1971.0,50,Post-War Concrete,2,Summer
712.0,712.0,82,Post-War Concrete,5,Spring
2694.0,2694.0,34,Modern Timber Frame,6,Autumn
489.0,489.0,52,Post-War Concrete,9,Spring
2715.0,2715.0,13,Edwardian Stone,3,Winter
124.0,124.0,50,Modern Timber Frame,2,Summer
985.0,985.0,38,Victorian Brick,9,Winter
2355.0,2355.0,77,Victorian Brick,4,Winter
258.0,258.0,103,Post-War Concrete,8,Spring
2056.0,2056.0,115,Modern Timber Frame,8,Autumn
2286.0,2286.0,85,Modern Timber Frame,8,Spring
218.0,218.0,119,Post-War Concrete,4,Spring
1635.0,1635.0,59,Post-War Concrete,4,Spring
508.0,508.0,51,Post-War Concrete,2,Autumn
112.0,112.0,28,Edwardian Stone,2,Winter
636.0,636.0,48,Edwardian Stone,3,Autumn
1651.0,1651.0,31,Victorian Brick,3,Winter
2852.0,2852.0,98,Edwardian Stone,0,Winter
287.0,287.0,81,Victorian Brick,5,Spring
1222.0,1222.0,66,Edwardian Stone,0,Spring
1687.0,1687.0,50,Post-War Concrete,9,Winter
2815.0,2815.0,80,Modern Timber Frame,5,Spring
2634.0,2634.0,90,Modern Timber Frame,1,Spring
2634.0,2634.0,25,Modern Timber Frame,3,Spring
1481.0,1481.0,113,Edwardian Stone,1,Summer
2822.0,2822.0,110,Edwardian Stone,6,Winter
2475.0,2475.0,44,Edwardian Stone,5,Winter
1469.0,1469.0,60,Victorian Brick,5,Summer
299.0,299.0,54,Edwardian Stone,5,Spring
1469.0,1469.0,53,Victorian Brick,7,Spring
156.0,156.0,6,Edwardian Stone,1,Summer
1469.0,1469.0,66,Modern Timber Frame,0,Autumn
510.0,510.0,50,Post-War Concrete,7,Spring
1530.0,1530.0,76,Victorian Brick,3,Autumn
2817.0,2817.0,99,Post-War Concrete,9,Autumn
734.0,734.0,20,Modern Timber Frame,4,Winter
1719.0,1719.0,85,Edwardian Stone,2,Summer
2562.0,2562.0,44,Victorian Brick,3,Summer
2333.0,2333.0,69,Edwardian Stone,8,Summer
446.0,446.0,21,Modern Timber Frame,8,Spring
769.0,769.0,82,Modern Timber Frame,4,Spring
359.0,359.0,84,Victorian Brick,8,Autumn
2019.0,2019.0,104,Victorian Brick,7,Autumn
568.0,568.0,50,Victorian Brick,8,Autumn
118.0,118.0,11,Modern Timber Frame,1,Summer
1813.0,1813.0,105,Modern Timber Frame,5,Winter
1469.0,1469.0,15,Victorian Brick,7,Autumn
258.0,258.0,41,Modern Timber Frame,3,Autumn
47.0,47.0,93,Modern Timber Frame,8,Summer
1995.0,1995.0,13,Modern Timber Frame,7,Spring
841.0,841.0,99,Modern Timber Frame,0,Autumn
884.0,884.0,20,Victorian Brick,3,Autumn
1688.0,1688.0,109,Victorian Brick,4,Summer
2631.0,2631.0,93,Victorian Brick,6,Autumn
1656.0,1656.0,96,Edwardian Stone,4,Summer
1954.0,1954.0,32,Modern Timber Frame,3,Winter
1277.0,1277.0,45,Edwardian Stone,6,Spring
2055.0,2055.0,104,Victorian Brick,5,Spring
2527.0,2527.0,74,Victorian Brick,9,Spring
2494.0,2494.0,71,Edwardian Stone,2,Spring
915.0,915.0,47,Victorian Brick,4,Winter
968.0,968.0,24,Post-War Concrete,9,Spring
884.0,884.0,31,Victorian Brick,7,Summer
2874.0,2874.0,67,Post-War Concrete,2,Winter
1104.0,1104.0,107,Victorian Brick,6,Winter
1982.0,1982.0,110,Post-War Concrete,4,Spring
2406.0,2406.0,108,Post-War Concrete,1,Spring
2196.0,2196.0,61,Post-War Concrete,9,Autumn
2530.0,2530.0,80,Edwardian Stone,4,Spring
114.0,114.0,107,Modern Timber Frame,0,Spring
2104.0,2104.0,6,Edwardian Stone,9,Autumn
1794.0,1794.0,119,Edwardian Stone,6,Summer
910.0,910.0,44,Modern Timber Frame,3,Spring
1749.0,1749.0,70,Modern Timber Frame,4,Summer
1268.0,1268.0,42,Post-War Concrete,1,Autumn
1006.0,1006.0,57,Modern Timber Frame,7,Spring
2671.0,2671.0,44,Victorian Brick,1,Autumn
1647.0,1647.0,80,Post-War Concrete,4,Spring
1113.0,1113.0,45,Edwardian Stone,7,Summer
1114.0,1114.0,75,Modern Timber Frame,6,Spring
2506.0,2506.0,57,Post-War Concrete,2,Spring
2312.0,2312.0,91,Victorian Brick,4,Autumn
1649.0,1649.0,91,Victorian Brick,6,Spring
969.0,969.0,62,Post-War Concrete,4,Autumn
1487.0,1487.0,102,Post-War Concrete,8,Spring
1190.0,1190.0,56,Post-War Concrete,0,Autumn
1100.0,1100.0,16,Post-War Concrete,6,Winter
2004.0,2004.0,110,Modern Timber Frame,0,Spring
247.0,247.0,59,Edwardian Stone,5,Summer
472.0,472.0,42,Edwardian Stone,5,Spring
576.0,576.0,99,Victorian Brick,0,Summer
434.0,434.0,33,Modern Timber Frame,9,Summer
1452.0,1452.0,70,Edwardian Stone,7,Summer
2264.0,2264.0,56,Modern Timber Frame,4,Winter
612.0,612.0,81,Post-War Concrete,0,Autumn
1865.0,1865.0,38,Post-War Concrete,3,Summer
1953.0,1953.0,63,Modern Timber Frame,3,Summer
496.0,496.0,27,Modern Timber Frame,6,Autumn
416.0,416.0,119,Victorian Brick,7,Winter
1796.0,1796.0,38,Edwardian Stone,6,Summer
612.0,612.0,109,Edwardian Stone,2,Winter
1793.0,1793.0,39,Victorian Brick,4,Winter
948.0,948.0,108,Victorian Brick,7,Winter
581.0,581.0,74,Modern Timber Frame,0,Winter
2779.0,2779.0,117,Victorian Brick,9,Autumn
204.0,204.0,51,Modern Timber Frame,9,Summer
1820.0,1820.0,109,Victorian Brick,4,Summer
2319.0,2319.0,62,Modern Timber Frame,4,Spring
1173.0,1173.0,113,Edwardian Stone,7,Winter
994.0,994.0,20,Post-War Concrete,8,Autumn
2480.0,2480.0,63,Modern Timber Frame,0,Summer
2571.0,2571.0,24,Victorian Brick,2,Winter
240.0,240.0,93,Victorian Brick,2,Summer
713.0,713.0,72,Victorian Brick,3,Autumn
334.0,334.0,14,Modern Timber Frame,3,Spring
1468.0,1468.0,9,Edwardian Stone,6,Spring
1459.0,1459.0,48,Post-War Concrete,3,Spring
1596.0,1596.0,71,Modern Timber Frame,6,Summer
2613.0,2613.0,119,Post-War Concrete,0,Autumn
105.0,105.0,10,Modern Timber Frame,2,Autumn
1674.0,1674.0,99,Modern Timber Frame,6,Winter
1230.0,1230.0,46,Modern Timber Frame,6,Autumn
1200.0,1200.0,94,Modern Timber Frame,3,Spring
1882.0,1882.0,55,Edwardian Stone,2,Spring
2219.0,2219.0,47,Post-War Concrete,3,Autumn
2647.0,2647.0,84,Victorian Brick,3,Autumn
2792.0,2792.0,43,Modern Timber Frame,5,Summer
120.0,120.0,20,Victorian Brick,3,Autumn
2024.0,2024.0,102,Victorian Brick,8,Winter
1629.0,1629.0,103,Modern Timber Frame,2,Summer
82.0,82.0,7,Modern Timber Frame,3,Spring
1988.0,1988.0,119,Victorian Brick,1,Autumn
181.0,181.0,108,Modern Timber Frame,3,Autumn
343.0,343.0,77,Modern Timber Frame,4,Spring
125.0,125.0,12,Edwardian Stone,3,Summer
2102.0,2102.0,43,Edwardian Stone,9,Spring
2647.0,2647.0,106,Post-War Concrete,4,Spring
365.0,365.0,93,Post-War Concrete,5,Spring
582.0,582.0,94,Modern Timber Frame,4,Autumn
1047.0,1047.0,63,Post-War Concrete,8,Winter
1774.0,1774.0,12,Victorian Brick,1,Spring
288.0,288.0,86,Edwardian Stone,1,Summer
1373.0,1373.0,100,Modern Timber Frame,1,Summer
236.0,236.0,83,Victorian Brick,0,Summer
1511.0,1511.0,61,Post-War Concrete,0,Winter
2647.0,2647.0,33,Modern Timber Frame,7,Summer
322.0,322.0,21,Edwardian Stone,1,Spring
1001.0,1001.0,107,Modern Timber Frame,9,Autumn
2547.0,2547.0,14,Edwardian Stone,6,Spring
2097.0,2097.0,107,Post-War Concrete,3,Spring
512.0,512.0,87,Edwardian Stone,9,Summer
2135.0,2135.0,103,Modern Timber Frame,9,Winter
1336.0,1336.0,14,Victorian Brick,8,Spring
99.0,99.0,55,Modern Timber Frame,4,Winter
364.0,364.0,32,Modern Timber Frame,9,Spring
109.0,109.0,74,Victorian Brick,4,Spring
1473.0,1473.0,11,Post-War Concrete,8,Autumn
883.0,883.0,116,Modern Timber Frame,8,Spring
698.0,698.0,102,Post-War Concrete,7,Winter
1275.0,1275.0,80,Post-War Concrete,5,Spring
2810.0,2810.0,89,Edwardian Stone,9,Summer
1019.0,1019.0,112,Victorian Brick,2,Autumn
311.0,311.0,83,Victorian Brick,7,Autumn
2450.0,2450.0,116,Edwardian Stone,9,Summer
2840.0,2840.0,85,Victorian Brick,2,Summer
759.0,759.0,13,Edwardian Stone,8,Spring
1101.0,1101.0,44,Edwardian Stone,2,Spring
668.0,668.0,90,Modern Timber Frame,5,Spring
2540.0,2540.0,38,Post-War Concrete,0,Summer
2389.0,2389.0,41,Victorian Brick,2,Autumn
2582.0,2582.0,79,Edwardian Stone,7,Winter
2122.0,2122.0,16,Edwardian Stone,8,Winter
2390.0,2390.0,69,Edwardian Stone,1,Summer
260.0,260.0,60,Modern Timber Frame,9,Winter
187.0,187.0,49,Victorian Brick,2,Summer
1644.0,1644.0,80,Edwardian Stone,2,Summer
836.0,836.0,32,Edwardian Stone,0,Spring
2658.0,2658.0,67,Modern Timber Frame,3,Winter
1111.0,1111.0,97,Victorian Brick,8,Autumn
2422.0,2422.0,70,Modern Timber Frame,3,Spring
2377.0,2377.0,5,Modern Timber Frame,7,Summer
201.0,201.0,45,Post-War Concrete,7,Summer
2095.0,2095.0,14,Victorian Brick,9,Spring
1474.0,1474.0,16,Modern Timber Frame,7,Winter
169.0,169.0,90,Modern Timber Frame,5,Spring
1258.0,1258.0,90,Edwardian Stone,8,Autumn
1754.0,1754.0,87,Post-War Concrete,2,Winter
1683.0,1683.0,27,Victorian Brick,5,Autumn
1219.0,1219.0,34,Modern Timber Frame,4,Summer
1890.0,1890.0,54,Edwardian Stone,9,Spring
1735.0,1735.0,19,Modern Timber Frame,5,Summer
1735.0,1735.0,32,Victorian Brick,2,Autumn
2576.0,2576.0,18,Modern Timber Frame,4,Winter
1509.0,1509.0,62,Victorian Brick,4,Winter
1435.0,1435.0,68,Post-War Concrete,3,Spring
392.0,392.0,80,Modern Timber Frame,9,Summer
