property_id,season,avg_temp_c,rainfall_mm,maintenance_risk_score
2393.0,Autumn,19,1.8,7
1484.0,Winter,18,2.8,2
1484.0,Spring,14,4.3,9
1484.0,Summer,4,0.5,5
1484.0,Autumn,15,2.4,6
1128.0,Winter,3,1.3,1
1128.0,Spring,8,0.5,2
1128.0,Summer,15,3.0,7
1128.0,Autumn,19,3.7,6
1279.0,Winter,10,0.6,3
1279.0,Spring,3,4.1,5
1279.0,Summer,9,3.4,6
1279.0,Autumn,19,0.8,1
1347.0,Winter,8,1.5,7
1347.0,Spring,6,4.4,3
1347.0,Summer,10,4.8,6
1347.0,Autumn,9,3.5,8
1875.0,Winter,5,3.3,9
1875.0,Spring,5,0.7,6
1875.0,Summer,13,1.7,5
1875.0,Autumn,17,1.5,9
2821.0,Winter,9,4.0,8
2821.0,Spring,13,0.6,8
2821.0,Summer,14,3.7,1
2821.0,Autumn,14,2.0,8
2770.0,Winter,20,3.4,7
2770.0,Spring,14,1.4,5
2770.0,Summer,9,1.5,4
2770.0,Autumn,11,2.7,8
1483.0,Winter,11,4.5,6
1483.0,Spring,19,0.6,9
1483.0,Summer,5,3.9,4
1483.0,Autumn,17,5.0,5
2461.0,Winter,12,4.3,1
2461.0,Spring,12,1.8,5
2461.0,Summer,18,4.7,1
2461.0,Autumn,16,1.0,2
504.0,Winter,13,1.9,6
504.0,Spring,15,2.0,9
504.0,Summer,9,4.7,9
504.0,Autumn,19,1.6,8
1849.0,Winter,10,3.9,7
1849.0,Spring,6,2.3,8
1849.0,Summer,21,5.0,2
1849.0,Autumn,18,3.9,2
946.0,Winter,9,2.5,2
946.0,Spring,19,4.7,4
946.0,Summer,16,1.4,6
946.0,Autumn,11,3.4,2
2055.0,Winter,6,4.9,9
2055.0,Spring,8,1.0,4
2055.0,Summer,2,1.4,7
2055.0,Autumn,21,1.6,5
1681.0,Winter,8,3.7,6
1681.0,Spring,10,2.7,9
1681.0,Summer,7,3.6,5
1681.0,Autumn,17,2.4,2
1196.0,Winter,11,3.9,1
1196.0,Spring,6,2.3,9
1196.0,Summer,16,2.0,4
1196.0,Autumn,10,4.7,4
544.0,Winter,8,2.8,9
544.0,Spring,12,1.1,5
544.0,Summer,5,3.1,9
544.0,Autumn,4,2.0,5
2652.0,Winter,19,3.5,6
2652.0,Spring,14,4.7,7
2652.0,Summer,4,1.8,7
2652.0,Autumn,15,4.4,9
783.0,Winter,5,4.4,8
783.0,Spring,10,0.7,3
783.0,Summer,15,0.6,6
783.0,Autumn,4,1.6,6
2112.0,Winter,10,4.2,2
2112.0,Spring,15,4.6,6
2112.0,Summer,17,3.8,8
2112.0,Autumn,9,3.6,5
1388.0,Winter,3,2.6,1
1388.0,Spring,18,4.2,6
1388.0,Summer,11,3.7,8
1388.0,Autumn,15,3.5,7
1891.0,Winter,21,2.6,8
1891.0,Spring,18,3.9,9
1891.0,Summer,4,0.8,8
1891.0,Autumn,9,2.4,2
2162.0,Winter,17,1.2,4
2162.0,Spring,5,0.7,2
2162.0,Summer,21,3.3,6
2162.0,Autumn,16,4.5,8
820.0,Winter,3,4.6,5
820.0,Spring,13,3.4,6
820.0,Summer,9,1.7,7
820.0,Autumn,21,2.5,9
2878.0,Winter,8,3.5,4
2878.0,Spring,6,5.0,6
2878.0,Summer,9,3.1,2
2878.0,Autumn,4,1.2,5
1748.0,Winter,19,4.6,4
1748.0,Spring,3,4.1,4
1748.0,Summer,16,2.9,1
1748.0,Autumn,7,1.6,6
151.0,Winter,3,2.0,6
151.0,Spring,5,2.1,8
151.0,Summer,7,4.7,6
151.0,Autumn,12,3.2,5
1466.0,Winter,17,3.3,2
1466.0,Spring,5,3.8,2
1466.0,Summer,11,0.6,3
1466.0,Autumn,6,2.1,7
2388.0,Winter,7,1.8,2
2388.0,Spring,12,4.1,6
2388.0,Summer,7,3.9,3
2388.0,Autumn,8,3.9,2
229.0,Winter,17,2.1,2
229.0,Spring,21,1.2,4
229.0,Summer,5,1.8,3
229.0,Autumn,2,1.5,1
165.0,Winter,15,2.6,8
165.0,Spring,8,2.0,1
165.0,Summer,10,3.2,6
165.0,Autumn,13,2.4,9
2531.0,Winter,17,1.5,4
2531.0,Spring,13,1.0,5
2531.0,Summer,20,4.6,7
2531.0,Autumn,6,1.9,9
1628.0,Winter,15,5.0,6
1628.0,Spring,12,2.3,4
1628.0,Summer,10,2.4,1
1628.0,Autumn,15,3.4,3
351.0,Winter,5,1.9,7
351.0,Spring,16,1.6,1
351.0,Summer,4,2.7,4
351.0,Autumn,11,3.9,8
1172.0,Winter,11,3.9,8
1172.0,Spring,9,2.2,7
1172.0,Summer,3,2.8,5
1172.0,Autumn,12,3.1,2
126.0,Winter,18,2.5,5
126.0,Spring,3,4.3,7
126.0,Summer,9,4.7,5
126.0,Autumn,6,1.8,8
1636.0,Winter,17,4.3,5
1636.0,Spring,20,1.8,5
1636.0,Summer,3,3.8,7
1636.0,Autumn,15,4.9,7
2002.0,Winter,12,3.6,4
2002.0,Spring,6,0.7,5
2002.0,Summer,19,0.6,6
2002.0,Autumn,18,1.1,3
2022.0,Winter,20,2.6,2
2022.0,Spring,8,4.3,6
2022.0,Summer,8,0.6,2
2022.0,Autumn,20,1.2,1
668.0,Winter,7,3.3,5
668.0,Spring,5,1.2,1
668.0,Summer,13,3.3,8
668.0,Autumn,6,4.6,7
1886.0,Winter,15,2.7,8
1886.0,Spring,11,3.3,6
1886.0,Summer,19,3.1,1
1886.0,Autumn,4,2.2,5
1377.0,Winter,13,3.0,2
1377.0,Spring,9,4.0,4
1377.0,Summer,3,2.0,7
1377.0,Autumn,13,4.4,7
2874.0,Winter,15,4.6,2
2874.0,Spring,2,4.7,2
2874.0,Summer,4,4.2,2
2874.0,Autumn,7,4.5,3
1070.0,Winter,17,3.0,2
1070.0,Spring,5,3.5,4
1070.0,Summer,5,3.5,4
1070.0,Autumn,6,2.0,7
228.0,Winter,8,1.2,5
228.0,Spring,9,4.5,5
228.0,Summer,15,0.5,3
228.0,Autumn,7,0.6,8
1767.0,Winter,8,1.7,9
1767.0,Spring,17,3.6,3
1767.0,Summer,18,3.9,5
1767.0,Autumn,12,0.9,9
108.0,Winter,4,5.0,2
108.0,Spring,18,2.2,6
108.0,Summer,8,3.5,2
108.0,Autumn,11,3.0,7
839.0,Winter,21,4.7,7
839.0,Spring,4,1.5,1
839.0,Summer,9,4.0,8
839.0,Autumn,16,4.6,7
1845.0,Winter,16,3.4,5
1845.0,Spring,6,3.6,2
1845.0,Summer,7,4.1,8
1845.0,Autumn,10,2.2,4
277.0,Winter,18,2.1,6
277.0,Spring,20,4.9,8
277.0,Summer,10,2.2,5
277.0,Autumn,20,1.0,8
237.0,Winter,2,0.8,5
237.0,Spring,2,2.3,6
237.0,Summer,10,4.5,3
237.0,Autumn,15,2.6,1
2820.0,Winter,7,3.4,8
2820.0,Spring,11,1.3,9
2820.0,Summer,9,3.2,4
2820.0,Autumn,7,4.7,9
632.0,Winter,13,0.9,2
632.0,Spring,10,2.1,9
632.0,Summer,10,2.3,2
632.0,Autumn,19,0.7,3
2518.0,Winter,7,4.3,7
2518.0,Spring,3,2.0,9
2518.0,Summer,11,4.2,3
2518.0,Autumn,17,1.4,2
2427.0,Winter,3,5.0,8
2427.0,Spring,9,2.5,8
2427.0,Summer,11,0.9,5
2427.0,Autumn,20,3.2,8
676.0,Winter,7,3.9,7
676.0,Spring,15,4.2,2
676.0,Summer,19,2.1,2
676.0,Autumn,4,1.6,4
1936.0,Winter,13,3.8,4
1936.0,Spring,4,1.0,9
1936.0,Summer,11,4.7,1
1936.0,Autumn,13,1.1,9
1168.0,Winter,13,2.7,1
1168.0,Spring,10,4.0,3
1168.0,Summer,10,3.9,8
1168.0,Autumn,2,1.3,8
534.0,Winter,3,3.6,1
534.0,Spring,11,1.6,1
534.0,Summer,8,0.6,9
534.0,Autumn,6,2.0,8
812.0,Winter,19,1.7,2
812.0,Spring,20,4.7,7
812.0,Summer,19,0.8,6
812.0,Autumn,6,4.5,2
2793.0,Winter,10,0.7,3
2793.0,Spring,19,0.9,9
2793.0,Summer,4,4.1,9
2793.0,Autumn,3,4.4,6
2149.0,Winter,16,2.9,9
2149.0,Spring,4,3.6,7
2149.0,Summer,17,1.5,6
2149.0,Autumn,10,1.0,8
1548.0,Winter,4,1.1,6
1548.0,Spring,17,3.1,9
1548.0,Summer,21,2.8,2
1548.0,Autumn,17,3.1,3
648.0,Winter,5,3.4,5
648.0,Spring,4,1.5,2
648.0,Summer,3,2.8,5
648.0,Autumn,6,1.8,7
2816.0,Winter,18,3.5,8
2816.0,Spring,14,4.7,5
2816.0,Summer,5,1.6,7
2816.0,Autumn,20,3.6,9
2194.0,Winter,3,2.5,4
2194.0,Spring,4,4.0,9
2194.0,Summer,13,3.1,1
2194.0,Autumn,15,0.9,1
2215.0,Winter,14,2.8,1
2215.0,Spring,17,3.2,6
2215.0,Summer,9,4.2,9
2215.0,Autumn,15,0.7,6
2807.0,Winter,4,3.1,1
2807.0,Spring,11,2.8,8
2807.0,Summer,8,2.3,2
2807.0,Autumn,11,3.1,6
1071.0,Winter,7,3.9,5
1071.0,Spring,16,4.6,7
1071.0,Summer,14,0.8,7
1071.0,Autumn,16,0.9,5
81.0,Winter,18,2.6,5
81.0,Spring,8,2.8,7
81.0,Summer,13,0.9,4
81.0,Autumn,16,2.5,1
1732.0,Winter,15,0.6,4
1732.0,Spring,13,4.7,3
1732.0,Summer,7,4.6,2
1732.0,Autumn,3,3.4,8
811.0,Winter,10,1.4,2
811.0,Spring,11,4.9,5
811.0,Summer,5,1.1,1
811.0,Autumn,13,1.6,5
2003.0,Winter,3,1.7,9
2003.0,Spring,2,2.0,8
2003.0,Summer,8,4.0,6
2003.0,Autumn,17,2.5,9
2575.0,Winter,12,1.4,1
2575.0,Spring,21,1.7,4
2575.0,Summer,21,3.9,6
2575.0,Autumn,14,3.6,2
98.0,Winter,15,4.0,6
98.0,Spring,2,3.3,5
98.0,Summer,19,2.7,4
98.0,Autumn,8,1.8,9
1396.0,Winter,5,0.9,8
1396.0,Spring,17,1.7,4
1396.0,Summer,15,2.5,9
1396.0,Autumn,2,2.1,8
753.0,Winter,12,2.5,9
753.0,Spring,11,2.6,7
753.0,Summer,5,3.3,3
753.0,Autumn,7,2.1,8
1734.0,Winter,18,4.7,4
1734.0,Spring,5,3.3,6
1734.0,Summer,6,4.0,2
1734.0,Autumn,13,3.2,8
1281.0,Winter,21,4.4,8
1281.0,Spring,11,4.9,6
1281.0,Summer,14,1.4,1
1281.0,Autumn,4,0.6,4
81.0,Winter,7,3.7,4
81.0,Spring,3,3.3,2
81.0,Summer,8,0.8,7
81.0,Autumn,10,4.2,6
1733.0,Winter,4,2.1,3
1733.0,Spring,14,3.0,7
1733.0,Summer,16,4.4,6
1733.0,Autumn,13,2.8,6
2120.0,Winter,3,2.0,9
2120.0,Spring,3,0.7,5
2120.0,Summer,5,2.2,1
2120.0,Autumn,4,4.3,1
670.0,Winter,5,3.4,2
670.0,Spring,11,1.3,1
670.0,Summer,20,1.3,2
670.0,Autumn,9,4.3,6
1807.0,Winter,3,2.7,2
1807.0,Spring,3,1.1,7
1807.0,Summer,2,4.7,4
1807.0,Autumn,16,0.7,8
1177.0,Winter,3,0.9,3
1177.0,Spring,12,3.7,8
1177.0,Summer,13,1.1,3
1177.0,Autumn,7,2.1,9
469.0,Winter,15,2.1,8
469.0,Spring,12,3.2,5
469.0,Summer,2,3.1,6
469.0,Autumn,8,4.3,3
1269.0,Winter,14,3.9,5
1269.0,Spring,18,3.2,3
1269.0,Summer,11,4.5,6
1269.0,Autumn,10,4.7,4
1088.0,Winter,4,2.4,2
1088.0,Spring,12,2.3,3
1088.0,Summer,16,2.2,9
1088.0,Autumn,20,1.1,5
2405.0,Winter,9,2.9,1
2405.0,Spring,7,1.6,1
2405.0,Summer,15,2.0,1
2405.0,Autumn,13,2.6,1
1732.0,Winter,8,1.4,3
1732.0,Spring,21,3.7,1
1732.0,Summer,5,2.8,2
1732.0,Autumn,7,0.5,9
2177.0,Winter,2,0.7,2
2177.0,Spring,18,4.1,3
2177.0,Summer,17,1.2,1
2177.0,Autumn,12,2.3,6
2294.0,Winter,4,3.8,5
2294.0,Spring,15,3.2,6
2294.0,Summer,7,1.2,8
2294.0,Autumn,20,3.3,5
1420.0,Winter,8,2.1,5
1420.0,Spring,16,4.8,6
1420.0,Summer,9,3.3,1
