log_id,property_id,issue_type,severity,date,cost,resolved,notes
79,25,Pipe Burst,Low,2024-12-25,1524.72,False,Officiis consequuntur at maiores quasi cumque quasi perspiciatis.
80,25,Pipe Burst,Medium,2025-04-24,1836.34,True,Cupiditate a nemo.
81,25,Pipe Burst,Medium,2025-01-13,1637.78,True,Et voluptatem ipsum quam voluptatibus.
82,26,Roof Leak,Medium,2025-04-25,676.06,True,Asperiores explicabo cumque dolorum.
83,26,Window Repair,Low,2024-12-05,852.71,False,Ex blanditiis vitae nobis autem.
84,26,Roof Leak,Medium,2025-01-31,830.88,True,Quae error iste delectus tenetur quo.
85,26,Electrical Fault,Low,2025-01-08,542.18,True,Cupiditate dolore quibusdam numquam nisi occaecati temporibus.
86,27,Window Repair,Medium,2024-04-06,1976.83,False,Necessitatibus placeat itaque corrupti dicta.
87,27,Electrical Fault,Low,2024-07-13,1060.96,False,Praesentium maiores cupiditate ullam accusantium consequatur distinctio.
88,27,Pest Infestation,Medium,2024-12-02,150.64,False,Odit eius beatae consequatur.
89,27,Pipe Burst,Low,2024-06-11,611.66,False,Placeat dignissimos id officiis quod fuga quaerat.
90,28,Boiler Failure,Critical,2024-06-20,1237.3,True,Cumque ex assumenda iusto.
91,29,Roof Leak,Medium,2024-12-28,1126.89,True,Voluptas omnis at alias hic.
92,29,Damp/Mould,Critical,2025-04-29,1830.21,False,Occaecati temporibus incidunt ullam enim tempore.
93,30,Pest Infestation,High,2025-04-30,1021.83,False,Quisquam harum itaque maiores fugiat.
94,31,Pest Infestation,Low,2024-01-15,1677.71,False,Quibusdam reiciendis iure illo.
95,31,Damp/Mould,Medium,2025-03-20,332.05,True,Neque minima nisi minima.
96,31,Pipe Burst,Medium,2024-05-20,1764.69,True,Consectetur fugit alias animi necessitatibus.
97,31,Roof Leak,High,2025-04-15,1716.1,False,Ipsum placeat adipisci quas totam a veniam reprehenderit.
98,31,Window Repair,Medium,2024-11-05,1650.07,False,Quam libero optio inventore fugit at amet quas.
99,32,Window Repair,Medium,2025-04-21,1997.86,False,Ipsa dolore magnam fugit dolorum facilis.
100,32,Window Repair,Low,2025-03-27,1100.23,False,Corrupti ex nostrum enim.
101,32,Roof Leak,Medium,2024-12-15,1109.69,False,Ad officia facilis at voluptates deleniti.
102,33,Window Repair,Low,2024-09-28,1410.12,False,Qui minima possimus temporibus magnam dolorem odio.
103,33,Damp/Mould,High,2024-09-26,851.01,False,Laborum quidem facere corporis.
104,33,Pest Infestation,Medium,2024-01-23,1831.19,False,Doloribus iste laborum.
105,34,Pest Infestation,High,2023-12-27,1321.44,True,Molestiae accusantium doloribus dolorum.
106,34,Electrical Fault,Critical,2024-05-15,296.18,False,Dolore quibusdam unde soluta debitis.
107,34,Window Repair,Low,2025-04-24,1697.83,True,Delectus repudiandae ipsum quisquam.
108,34,Pipe Burst,Critical,2023-11-28,79.93,True,Neque fugiat qui ratione soluta saepe.
109,35,Window Repair,Medium,2025-04-15,351.0,False,Dolor blanditiis quos tenetur cum nesciunt.
110,35,Window Repair,Critical,2023-12-17,710.19,False,Nesciunt voluptatibus pariatur eligendi.
111,35,Pest Infestation,Low,2023-12-16,690.7,False,Eum esse quidem quia eligendi assumenda.
112,35,Roof Leak,Medium,2025-03-20,1780.51,False,Esse impedit facilis voluptas.
113,36,Boiler Failure,Medium,2025-04-24,507.8,False,Provident sequi laborum modi amet unde.
114,36,Damp/Mould,High,2025-04-15,896.24,True,Expedita esse nobis corrupti a.
115,36,Window Repair,Medium,2025-04-26,1751.53,False,Quod at eum eum quisquam.
116,36,Damp/Mould,Medium,2025-05-16,1811.68,True,Dolore non provident similique consequuntur porro ducimus harum.
117,36,Roof Leak,High,2025-05-12,622.07,False,Assumenda pariatur ipsa quisquam.
118,37,Damp/Mould,Low,2024-07-04,853.5,True,Ratione animi libero ex possimus itaque aliquid.
119,37,Damp/Mould,Low,2024-12-18,1238.51,False,Aliquam quibusdam facere veritatis.
120,37,Pipe Burst,Medium,2025-03-04,1020.45,True,Aspernatur nostrum ad perferendis.
121,37,Damp/Mould,Medium,2024-08-27,545.26,False,Accusantium voluptates facilis eos repellat libero adipisci.
122,38,Window Repair,Medium,2024-04-13,610.88,True,Aliquid maxime officia.
123,39,Electrical Fault,Critical,2024-01-20,1975.92,False,Deleniti id voluptatum.
124,40,Pest Infestation,Low,2024-12-29,1698.34,True,Ad quia alias rem aliquam.
125,40,Electrical Fault,High,2025-03-16,257.97,False,Ex corporis consequatur tenetur occaecati porro.
126,40,Pipe Burst,Medium,2024-10-23,626.95,False,Magni facilis officia laudantium ab.
127,40,Boiler Failure,Critical,2024-08-24,1333.55,False,Dolorem officia commodi ut facilis.
128,41,Pipe Burst,High,2025-01-19,1567.71,True,Eligendi quia minima.
129,42,Pest Infestation,Medium,2024-07-01,1813.1,False,Recusandae possimus esse quis.
130,42,Window Repair,High,2024-11-19,1233.78,False,Non harum quas quasi.
131,42,Damp/Mould,Medium,2024-07-06,1260.74,True,Voluptatem at natus repudiandae eligendi vitae animi.
132,42,Pest Infestation,Low,2025-03-20,1273.54,True,Modi officiis nulla praesentium architecto esse.
133,42,Roof Leak,High,2025-03-12,115.06,False,Nisi qui a quidem.
134,43,Boiler Failure,Critical,2025-04-19,687.1,False,Soluta magnam deserunt sint.
135,43,Damp/Mould,Low,2025-04-24,1583.7,False,Laboriosam quos quisquam nihil quia cum.
136,44,Pipe Burst,Critical,2025-03-26,1669.42,False,Harum sapiente minima consequatur.
137,44,Window Repair,Critical,2025-03-27,1936.4,False,Natus odit odio ullam dolorem alias.
138,44,Pest Infestation,High,2025-04-20,1618.25,False,Maxime voluptatibus praesentium.
139,44,Boiler Failure,Low,2025-05-26,1934.68,False,Ut numquam harum autem quas unde.
140,44,Window Repair,High,2025-03-18,763.26,False,Sunt adipisci cumque maxime praesentium suscipit.
141,45,Roof Leak,Medium,2025-03-19,936.83,False,Consequuntur voluptas magnam.
142,46,Electrical Fault,High,2025-05-31,1883.57,True,Corporis totam consequuntur nemo tempora alias vel.
143,46,Pest Infestation,Low,2025-06-01,98.8,False,Fugiat architecto consequuntur eos voluptatem debitis optio quos.
144,46,Pipe Burst,Low,2025-05-31,173.27,False,Provident corporis molestias recusandae maiores consectetur numquam minus.
145,46,Pest Infestation,Medium,2025-05-31,846.18,True,Pariatur molestias animi error voluptate laboriosam.
146,46,Boiler Failure,Critical,2025-06-02,643.51,False,Expedita dolorum ullam dolor soluta impedit doloribus.
147,47,Boiler Failure,Low,2025-04-26,1098.22,False,Accusantium consectetur fugiat veritatis minima eaque dignissimos.
148,48,Roof Leak,Medium,2024-07-03,1499.12,False,Deleniti aspernatur deleniti alias deleniti doloribus.
149,48,Pipe Burst,High,2024-01-30,351.32,False,Quaerat nemo numquam non.
150,48,Pest Infestation,Low,2025-01-14,1004.23,False,Velit at tenetur.
151,48,Roof Leak,Low,2023-11-17,772.53,False,Debitis veritatis nam et quod eum.
152,49,Damp/Mould,High,2025-02-07,243.74,False,Qui ipsam alias error.
153,49,Pipe Burst,Critical,2024-11-20,1307.41,True,Expedita incidunt quibusdam assumenda saepe libero adipisci dolore.
154,49,Electrical Fault,Low,2024-06-26,1938.0,False,Saepe voluptates atque praesentium ipsam dignissimos sunt.
155,49,Boiler Failure,Medium,2024-11-28,1301.32,True,Maxime molestias vero voluptate.
156,50,Window Repair,Medium,2025-03-21,1978.2,True,Tempore magnam tempore ipsam architecto explicabo culpa.
157,51,Window Repair,High,2024-07-02,453.96,True,Quasi voluptatem fugit hic deleniti ipsa eos.
158,52,Roof Leak,High,2024-07-17,1587.86,True,Eligendi maxime eligendi dicta maiores quasi praesentium error.
159,52,Roof Leak,High,2025-05-28,332.14,True,Eos nam doloremque ab perferendis hic nisi architecto.
160,53,Roof Leak,High,2024-06-16,264.36,True,A vel earum necessitatibus accusantium adipisci cupiditate officia.
161,53,Damp/Mould,Low,2025-05-14,1590.47,True,Quidem eius saepe excepturi dicta culpa error omnis.
162,53,Pipe Burst,Medium,2024-07-25,389.78,True,Reiciendis sint molestias officia alias asperiores.
163,53,Damp/Mould,High,2025-04-23,1075.87,True,Tempore amet iusto sit reprehenderit perferendis alias.
164,53,Electrical Fault,Medium,2025-03-14,755.98,True,Qui iusto occaecati consequuntur dicta quod.
165,54,Pipe Burst,Low,2024-07-05,1249.46,False,Maiores at ipsa possimus.
166,54,Electrical Fault,Medium,2025-02-11,110.74,False,Cum error ipsa rem hic.
167,54,Window Repair,Medium,2025-01-26,1387.89,False,Quae incidunt aspernatur repudiandae consequatur tenetur.
168,54,Pest Infestation,Critical,2025-01-31,193.31,True,Optio error quidem.
169,55,Pipe Burst,Low,2024-08-08,296.07,False,Nobis doloribus deserunt libero repellat quidem.
170,55,Electrical Fault,Critical,2025-05-13,1084.59,False,Nobis laudantium quas totam delectus.
171,55,Pipe Burst,Medium,2024-12-26,243.4,True,Sequi earum suscipit at.
172,56,Pest Infestation,High,2024-10-14,888.64,True,Amet hic dolores rerum.
173,56,Electrical Fault,Medium,2024-11-07,934.32,False,Quos minima vitae id eos error.
174,56,Pest Infestation,Low,2024-08-03,882.19,False,Minima maiores id delectus.
175,56,Roof Leak,Critical,2024-08-20,1389.3,False,Incidunt repellat molestias numquam voluptates debitis.
176,56,Boiler Failure,Low,2024-10-24,216.46,False,Iusto nesciunt ex autem.
177,57,Pest Infestation,High,2025-05-30,1632.95,True,Facilis esse mollitia aperiam.
178,58,Pipe Burst,Medium,2024-10-16,1356.53,False,Consequatur possimus suscipit neque nihil sapiente inventore.
179,58,Roof Leak,High,2025-02-10,1885.2,False,Error aspernatur voluptatum nisi nostrum nemo recusandae.
180,58,Window Repair,Critical,2024-11-19,150.32,False,Rerum amet quibusdam quisquam magnam.
181,58,Pipe Burst,Medium,2024-11-11,252.02,True,Fugiat aut quod blanditiis unde.
182,58,Damp/Mould,Medium,2025-03-04,487.28,True,Eos odio veniam sit nobis.
183,59,Window Repair,Medium,2025-04-06,274.03,False,Alias labore ipsam eveniet.
184,59,Pipe Burst,Low,2024-07-13,886.77,True,Animi optio a.
185,59,Pipe Burst,Critical,2024-10-09,1667.45,False,Facere maxime necessitatibus corporis voluptate inventore.
186,60,Damp/Mould,Low,2025-01-28,1536.7,False,Totam totam tempora ipsam esse architecto tenetur.
187,61,Boiler Failure,Low,2025-04-30,329.34,False,Suscipit cupiditate nisi maxime dolores officia natus.
188,61,Boiler Failure,Low,2024-11-16,1284.69,True,Cumque sint eaque at nemo maxime odit velit.
189,61,Boiler Failure,High,2025-03-06,469.51,False,In nam quo laudantium perferendis deleniti qui.
190,62,Roof Leak,Low,2025-03-04,657.69,False,Ratione unde unde recusandae.
191,62,Window Repair,Critical,2024-12-31,1212.64,True,Magni dignissimos assumenda exercitationem.
192,62,Damp/Mould,Low,2025-01-15,1254.78,True,Impedit iure nostrum deleniti repellat esse beatae.
193,62,Roof Leak,Medium,2025-01-13,876.83,False,Cupiditate dignissimos nesciunt ad.
194,63,Roof Leak,Low,2024-12-11,1049.08,False,Maxime molestiae ducimus corrupti illum.
195,63,Electrical Fault,Low,2025-04-20,1372.52,False,Sequi impedit ipsa.
196,63,Pipe Burst,Medium,2025-01-08,138.56,False,Aperiam sunt expedita asperiores sunt.
197,63,Pipe Burst,Low,2024-12-06,448.63,True,Deleniti sunt cum voluptate.
198,64,Window Repair,Low,2024-09-23,689.84,True,Deleniti consequuntur facilis expedita repellendus iste error.
199,64,Electrical Fault,High,2025-03-20,392.6,False,Adipisci accusamus asperiores architecto minus magni.
200,65,Pest Infestation,Low,2025-02-03,1139.51,False,Quibusdam vel sit id assumenda.
201,65,Boiler Failure,Medium,2024-12-06,1496.98,False,Sit cumque iste et debitis.
202,65,Boiler Failure,Medium,2024-01-23,201.83,False,Et repellat provident temporibus ducimus necessitatibus repellat.
203,65,Pipe Burst,Medium,2023-08-29,838.62,False,Alias molestias ullam ipsa veritatis.
204,65,Roof Leak,Low,2025-01-31,90.67,False,Natus illo itaque illo ipsum doloremque.
205,66,Window Repair,Critical,2025-02-23,947.19,False,Dolor suscipit distinctio temporibus.
206,66,Boiler Failure,Medium,2023-11-16,256.43,False,Facilis dicta veritatis hic.
207,67,Electrical Fault,Medium,2025-04-19,821.75,False,Sint sint rerum maiores.
208,67,Pest Infestation,Medium,2025-04-12,699.48,True,Voluptates adipisci eum.
209,67,Boiler Failure,Medium,2025-05-05,272.35,True,Dolores quo numquam neque sint.
210,67,Window Repair,Medium,2025-05-09,1468.39,True,Repellendus aut cum esse possimus beatae est.
211,67,Damp/Mould,Low,2025-04-12,549.14,True,Dolore laborum consectetur.
212,68,Damp/Mould,High,2024-11-22,1328.24,True,Quisquam sequi vel eos eveniet quia magni.
213,68,Window Repair,Medium,2025-06-02,954.71,False,Illum explicabo eveniet placeat provident quaerat cumque.
214,68,Pest Infestation,Critical,2024-09-10,1150.76,False,Et nemo ipsa laboriosam exercitationem neque veritatis.
215,68,Window Repair,Critical,2024-09-08,666.47,False,Placeat recusandae rerum ipsam.
216,68,Boiler Failure,Medium,2025-03-16,1281.2,False,Cumque ab eos cum at dignissimos nostrum.
217,69,Boiler Failure,Medium,2024-01-30,194.67,False,Amet suscipit perspiciatis amet perspiciatis.
218,69,Electrical Fault,Low,2024-10-09,769.04,False,Quam facilis natus culpa possimus fugit voluptate.
219,69,Boiler Failure,Medium,2024-04-21,1955.87,True,Exercitationem iure alias assumenda itaque ipsa.
220,69,Pipe Burst,Medium,2024-10-20,799.74,True,Corrupti alias explicabo quos minus provident.
221,69,Electrical Fault,Critical,2024-10-29,1164.73,True,Asperiores magni voluptates harum vero.
222,70,Pipe Burst,Medium,2025-05-24,344.18,True,Dicta nesciunt minima.
223,70,Electrical Fault,Low,2025-05-05,1803.3,False,Aut eum odio ex.
224,70,Pest Infestation,Low,2025-04-27,1309.95,True,Placeat rem pariatur iure.
225,71,Pest Infestation,Medium,2025-05-09,906.87,True,Neque ratione sint deleniti doloribus eum.
226,71,Roof Leak,Medium,2025-05-07,601.64,False,Quod fuga architecto accusantium possimus nobis necessitatibus.
227,72,Pest Infestation,Medium,2025-02-20,1588.99,False,Ducimus officiis atque eaque aspernatur.
228,72,Boiler Failure,Medium,2025-05-18,1138.03,False,Laudantium laudantium libero deleniti eligendi nesciunt.
229,72,Roof Leak,Low,2024-09-09,1710.55,True,Optio laborum reprehenderit quas.
230,73,Boiler Failure,Medium,2025-03-16,325.79,False,Officia corrupti vitae temporibus fugiat deleniti nihil.
231,73,Roof Leak,Critical,2025-03-14,1412.04,False,Culpa numquam odio temporibus sit blanditiis numquam ipsam.
232,73,Damp/Mould,Medium,2025-05-19,1879.1,False,Quaerat nulla quibusdam libero aspernatur explicabo.
233,74,Electrical Fault,Medium,2024-09-04,690.53,True,Eum voluptas aliquid tempora.
234,74,Pest Infestation,High,2025-03-01,1896.86,True,Temporibus consectetur nihil cumque hic.
235,74,Pest Infestation,Medium,2025-04-17,1041.55,True,Maxime explicabo consequuntur officiis molestiae vero consectetur dignissimos.
236,74,Roof Leak,Medium,2025-01-28,1904.78,False,Tempora doloremque corrupti minus quos.
237,74,Window Repair,Medium,2025-05-23,491.76,True,Nihil quos accusamus voluptatibus eum praesentium nulla.
238,75,Boiler Failure,Low,2024-07-28,1586.83,True,Inventore cumque ut incidunt consectetur dolores.
239,75,Pest Infestation,Medium,2024-11-13,1544.3,True,Deserunt reiciendis exercitationem alias amet.
240,76,Electrical Fault,Low,2024-12-07,402.65,True,Sapiente temporibus id ratione.
241,76,Pest Infestation,Medium,2024-10-31,851.17,True,Beatae cum earum tempore beatae nisi.
242,76,Electrical Fault,Medium,2025-03-07,1517.16,False,Tempore reiciendis eaque iure molestiae dolorum quis praesentium.
243,76,Damp/Mould,Medium,2025-05-17,653.46,False,Accusamus accusantium assumenda laborum in.
244,76,Window Repair,Low,2024-10-11,1372.7,False,Odit doloremque quas perspiciatis.
245,77,Window Repair,Low,2025-04-16,794.65,False,Libero error illum vel.
246,77,Damp/Mould,High,2025-03-26,1612.46,True,Minus fugit accusantium dicta quas sequi ex.
247,77,Window Repair,Low,2025-03-25,1300.3,False,Suscipit quo quos nostrum.
248,77,Pipe Burst,Critical,2025-04-27,1437.23,True,Modi numquam nesciunt dolores atque neque laborum excepturi.
249,78,Boiler Failure,High,2025-05-31,581.94,True,Magnam atque asperiores error officia quis nisi.
250,78,Window Repair,Medium,2025-05-11,1895.51,True,Quidem dolores quaerat ut itaque.
251,78,Window Repair,Medium,2025-04-28,731.69,True,Velit incidunt reprehenderit sit ipsa.
252,79,Boiler Failure,Medium,2025-02-02,779.22,False,Placeat voluptatibus voluptates.
253,79,Boiler Failure,Medium,2024-11-09,104.97,True,Adipisci vitae culpa voluptatibus.
254,79,Window Repair,High,2024-11-11,703.82,True,Voluptatem atque vitae eaque optio.
255,79,Damp/Mould,Low,2024-09-20,1838.92,False,Corrupti minus ipsa quisquam aperiam dolorum.
256,80,Window Repair,High,2025-02-28,924.77,True,Iusto numquam earum quod corporis quas nesciunt.
257,80,Boiler Failure,Low,2024-06-29,470.53,True,Quod expedita libero natus modi fugiat aliquam.
258,81,Pest Infestation,Medium,2023-10-15,875.35,False,Debitis officiis nemo laudantium quos vel reiciendis a.
259,81,Damp/Mould,Medium,2025-05-29,143.11,False,Molestiae consequuntur aspernatur neque dicta quis.
260,81,Pest Infestation,High,2024-02-05,941.37,True,Labore sed totam.
261,81,Window Repair,Critical,2023-12-03,1213.64,True,Tempore suscipit deserunt exercitationem repudiandae aliquid quaerat quos.
262,81,Pest Infestation,Medium,2025-01-10,521.78,True,Earum optio suscipit repudiandae ratione nisi iste.
263,82,Electrical Fault,Low,2025-01-11,737.99,False,Provident amet vitae.
264,82,Damp/Mould,Medium,2024-08-12,216.95,False,Libero modi ipsa omnis at quaerat ratione.
265,82,Boiler Failure,Critical,2024-07-18,1110.96,True,Reprehenderit numquam sit beatae.
266,83,Window Repair,Medium,2025-04-14,1289.56,False,Nobis ab saepe excepturi architecto voluptatum corporis ut.
267,83,Roof Leak,High,2025-05-14,746.33,True,Sint corporis molestias possimus sit.
268,83,Roof Leak,Low,2025-05-16,1331.35,True,Sint voluptate voluptatem quisquam.
269,83,Window Repair,Medium,2025-05-15,1525.52,True,Vero perferendis minus eveniet sequi cumque.
270,84,Roof Leak,Medium,2024-12-01,1636.34,True,Aliquid aliquam voluptatem optio esse aut exercitationem.
271,85,Pest Infestation,Medium,2025-05-22,405.44,True,Tempore aliquid iusto ipsa.
272,85,Boiler Failure,High,2025-04-27,1890.03,True,Labore quas magnam voluptate quo eveniet.
273,85,Roof Leak,Low,2025-05-08,1592.66,True,Aspernatur quidem molestiae placeat.
274,85,Roof Leak,Critical,2025-04-23,1055.0,False,Est temporibus delectus.
275,86,Boiler Failure,High,2025-03-18,422.65,False,Asperiores incidunt tenetur assumenda quo debitis quos.
276,86,Window Repair,High,2025-05-03,1738.31,False,Doloremque similique esse debitis.
277,86,Roof Leak,Low,2025-03-10,767.64,False,Nobis quaerat perspiciatis magni.
278,87,Electrical Fault,Medium,2024-05-30,414.29,False,Totam eum inventore dolorum cumque.
279,87,Roof Leak,Critical,2024-06-03,1062.59,True,Asperiores magnam eveniet quibusdam fuga.
280,87,Pest Infestation,Medium,2024-04-17,889.68,True,Eaque porro veniam delectus.
281,87,Pipe Burst,Low,2024-10-28,250.07,False,Similique sit voluptates excepturi soluta vitae quaerat.
282,88,Roof Leak,Medium,2025-05-17,1449.44,True,Quidem modi quia sunt.
283,88,Pest Infestation,Medium,2025-05-04,921.9,False,Sunt natus nobis ex incidunt iste reprehenderit.
284,88,Pipe Burst,Critical,2025-05-13,585.38,True,Debitis dolorem eveniet id.
285,89,Pest Infestation,Medium,2025-04-08,758.46,True,Tempore soluta ipsam possimus reiciendis dignissimos.
286,90,Damp/Mould,High,2025-05-21,1372.27,False,Aut sit fugit architecto quasi dicta.
287,91,Damp/Mould,Low,2024-05-21,1568.1,False,Cumque est ratione voluptatem corrupti quasi.
288,92,Electrical Fault,Critical,2024-11-01,113.15,True,Autem doloribus commodi ipsum incidunt cum vitae.
289,92,Pest Infestation,Medium,2024-11-26,773.38,False,Nemo culpa vel perferendis.
290,92,Window Repair,Low,2025-02-10,318.51,False,Recusandae dolorum unde ipsum similique sequi.
