property_id,month,avg_temp_c,rainfall_mm,pest_alert,maintenance_risk_score
61,May,2,1.9,None,6
61,June,2,4.0,Wasps,5
61,July,19,2.8,None,10
61,August,6,0.9,None,3
61,September,6,1.7,Damp Woodlice,4
61,October,9,1.7,None,10
61,November,14,3.1,None,2
61,December,12,4.1,None,10
62,January,5,3.2,None,10
62,February,14,0.9,None,6
62,March,13,4.5,None,2
62,April,9,3.9,Damp Woodlice,1
62,May,22,4.0,None,5
62,June,18,0.7,None,3
62,July,12,2.8,None,1
62,August,14,4.9,Rodents,10
62,September,18,0.9,None,7
62,October,6,1.1,None,10
62,November,3,3.0,None,7
62,December,18,2.5,None,3
63,January,17,3.0,None,10
63,February,8,3.0,Wasps,9
63,March,9,1.6,None,7
63,April,12,3.6,None,2
63,May,15,2.4,None,6
63,June,13,3.2,None,5
63,July,7,4.9,None,8
63,August,21,1.2,None,4
63,September,8,3.6,None,2
63,October,5,3.8,None,10
63,November,6,4.4,Damp Woodlice,1
63,December,12,3.6,None,8
64,January,17,0.6,None,9
64,February,8,1.4,None,5
64,March,19,2.7,Rodents,3
64,April,2,2.2,Wasps,9
64,May,3,1.6,None,4
64,June,21,1.7,None,1
64,July,4,2.2,None,6
64,August,5,0.6,Damp Woodlice,7
64,September,9,4.9,None,2
64,October,12,2.7,None,2
64,November,7,1.4,Wasps,9
64,December,2,0.7,Wasps,5
65,January,12,2.7,Rodents,1
65,February,13,3.6,None,5
65,March,9,5.0,Wasps,5
65,April,3,3.3,Damp Woodlice,1
65,May,19,4.8,None,6
65,June,14,3.5,None,7
65,July,18,4.8,None,4
65,August,15,1.6,None,5
65,September,21,2.0,None,4
65,October,22,1.1,None,4
65,November,6,1.9,Rodents,9
65,December,6,2.4,Wasps,3
66,January,22,4.7,Wasps,6
66,February,4,3.0,Wasps,2
66,March,7,1.9,Damp Woodlice,1
66,April,12,4.5,None,7
66,May,11,2.5,Wasps,5
66,June,6,4.0,None,3
66,July,2,3.9,None,5
66,August,21,3.1,None,4
66,September,9,3.6,None,8
66,October,6,2.8,None,6
66,November,7,4.3,None,3
66,December,7,1.4,None,1
67,January,10,4.8,None,4
67,February,8,0.8,Wasps,8
67,March,21,2.7,None,8
67,April,9,2.4,Rodents,10
67,May,14,3.7,None,10
67,June,21,2.9,None,1
67,July,18,1.0,None,1
67,August,9,2.8,None,1
67,September,19,2.2,Rodents,1
67,October,8,1.8,None,5
67,November,11,2.6,None,10
67,December,3,3.6,Wasps,8
68,January,22,2.5,Rodents,2
68,February,7,4.0,Wasps,9
68,March,6,2.3,None,1
68,April,7,2.5,Damp Woodlice,4
68,May,16,0.9,None,3
68,June,5,0.9,Rodents,6
68,July,4,2.9,None,9
68,August,21,4.8,None,7
68,September,3,4.0,Wasps,10
68,October,6,1.2,None,1
68,November,15,1.9,Rodents,8
68,December,11,3.3,None,3
69,January,8,0.5,Rodents,1
69,February,16,2.7,None,1
69,March,21,4.5,None,10
69,April,17,2.5,None,10
69,May,21,0.5,Damp Woodlice,5
69,June,21,3.3,Damp Woodlice,4
69,July,3,1.3,None,6
69,August,3,1.2,None,10
69,September,21,1.8,Wasps,1
69,October,5,2.4,None,5
69,November,21,3.5,None,10
69,December,19,1.3,None,10
70,January,13,4.7,None,5
70,February,12,2.2,None,2
70,March,15,4.3,None,8
70,April,6,1.0,Damp Woodlice,6
70,May,18,2.4,None,4
70,June,21,0.8,None,9
70,July,4,2.7,None,5
70,August,15,3.2,None,9
70,September,20,5.0,None,3
70,October,21,3.0,None,8
70,November,17,4.1,Damp Woodlice,4
70,December,11,4.9,None,1
71,January,16,3.3,None,4
71,February,21,5.0,None,6
71,March,13,3.0,None,1
71,April,22,1.4,None,2
71,May,11,1.9,None,1
71,June,5,3.6,None,10
71,July,21,4.8,Damp Woodlice,4
71,August,12,4.3,Wasps,8
71,September,17,4.1,None,8
71,October,6,3.3,Damp Woodlice,9
71,November,12,2.6,Damp Woodlice,1
71,December,18,1.8,Rodents,6
72,January,19,2.9,None,6
72,February,13,0.8,None,1
72,March,12,4.9,None,3
72,April,20,3.2,None,2
72,May,11,3.7,None,1
72,June,10,2.4,None,4
72,July,13,2.5,Wasps,4
72,August,18,1.9,None,1
72,September,8,4.6,None,1
72,October,17,4.6,None,6
72,November,17,3.8,None,6
72,December,6,4.0,None,9
73,January,6,1.4,None,7
73,February,18,1.0,None,1
73,March,21,4.4,None,1
73,April,5,2.8,None,5
73,May,2,3.1,None,4
73,June,12,1.4,None,9
73,July,12,4.0,None,5
73,August,6,1.2,None,10
73,September,19,2.8,None,6
73,October,19,1.9,None,5
73,November,20,1.6,None,10
73,December,12,2.9,None,1
74,January,17,4.6,None,7
74,February,3,0.9,None,10
74,March,20,3.3,None,8
74,April,21,2.1,None,4
74,May,19,0.9,Wasps,8
74,June,20,1.1,Damp Woodlice,8
74,July,5,2.6,None,8
74,August,17,1.5,None,10
74,September,10,4.6,None,6
74,October,12,2.5,None,8
74,November,5,2.1,None,3
74,December,11,4.0,None,3
75,January,18,1.0,Damp Woodlice,2
75,February,12,3.0,None,5
75,March,19,2.6,None,4
75,April,21,1.6,None,8
75,May,14,0.8,None,10
75,June,15,4.0,None,6
75,July,19,3.6,None,2
75,August,20,4.3,None,10
75,September,16,2.0,None,8
75,October,7,1.9,None,10
75,November,5,3.6,None,7
75,December,12,2.7,None,2
76,January,8,4.2,Damp Woodlice,1
76,February,6,3.5,None,5
76,March,14,3.3,None,4
76,April,12,1.8,Rodents,5
76,May,15,3.7,Wasps,2
76,June,20,0.5,Wasps,7
76,July,6,4.3,None,9
76,August,3,0.5,None,6
